epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,lambda,runDir,meanBlockMs
0.1,DPKI,cross-domain,9,164.65848888291254,164.65848888291254,163.15764439105988,163.15764439105988,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_60_lambda_2_r100,60.0
0.1,DPKI,intra-off-chain,65,57.56407999808972,57.56407999808972,56.424395401661215,56.424395401661215,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_60_lambda_2_r100,60.0
0.1,DPKI,intra-on-chain,16,157.88938124477863,157.88938124477863,156.05247498303652,156.05247498303652,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_60_lambda_2_r100,60.0
0.1,DPKI,management,10,295.8074900150299,295.8074900150299,229.09233994483947,229.09233994483947,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_60_lambda_2_r100,60.0
0.1,DPKI,cross-domain,9,146.2412444088194,146.2412444088194,145.06111115879483,145.06111115879483,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_50_lambda_2_r100,50.0
0.1,DPKI,intra-off-chain,65,58.61511692083799,58.61511692083799,57.04038768915029,57.04038768915029,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_50_lambda_2_r100,50.0
0.1,DPKI,intra-on-chain,16,127.552775003016,127.552775003016,125.77619997411966,125.77619997411966,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_50_lambda_2_r100,50.0
0.1,DPKI,management,10,286.1045199990273,286.1045199990273,214.09315006732942,214.09315006732942,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_50_lambda_2_r100,50.0
0.1,DPKI,cross-domain,9,137.87016667260065,137.87016667260065,136.70712219344244,136.70712219344244,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_45_lambda_2_r100,45.0
0.1,DPKI,intra-off-chain,65,63.56859537271353,63.56859537271353,62.12017230253953,62.12017230253953,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_45_lambda_2_r100,45.0
0.1,DPKI,intra-on-chain,16,133.5988312587142,133.5988312587142,132.08311247080564,132.08311247080564,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_45_lambda_2_r100,45.0
0.1,DPKI,management,10,322.1404096312297,317.24347999095914,255.19787965486177,250.30095001459122,4.896929640270537,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_60_50_45_r100_blockms_45_lambda_2_r100,45.0
