epsilon,model,requestIndex,kind,onChain,crossDomain,arrivalOffsetMs,arrivalWallMs,finishWallMs,latencyMs,queueMs,serviceMs,workerId,chainReads,verifiedCertificateSteps,proofNodes,stageTimingsJson,chainTxCount,chainBlockNumbers,chainTxHashes
0,DPKI,0,management,true,false,0,9587.79850000143,9897.346400022507,309.5479000210762,0,309.5479000210762,-1,0,2,0,"{""dpkiManagementDispatchHttp"":11.191399991512299,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":16.211800038814545,""dpkiManagementOpenSslIssueKeygen"":53.64989995956421,""dpkiManagementOpenSslIssueCsr"":22.342099964618683,""dpkiManagementOpenSslIssueSignCert"":16.186199963092804,""dpkiManagementOpenSslIssueExtractPubkey"":9.917200028896332,""dpkiManagementIssueCertificate"":105.19889998435974,""dpkiManagementOpenSslVerifyLeaf"":10.376500010490417,""dpkiManagementLeafAssertionSign"":11.62880003452301,""dpkiManagementLeafAssertionVerify"":8.970300018787384,""dpkiManagementOpenSslVerifyIssuerCA"":9.585500001907349,""dpkiManagementIssuerAssertionSign"":12.049000024795532,""dpkiManagementIssuerAssertionVerify"":9.509899973869324,""dpkiManagementVerifyRepositoryUpdateLocal"":0.07639998197555542,""dpkiManagementBuildMpt"":5.2817999720573425,""dpkiManagementPutCertAndRootTx"":88.8691999912262,""dpkiManagementRepositoryHttpVerify"":18.25279998779297}",1,6671076,0x3e3087934ceba57a38611e170409dbe2d22bbf2110a6effa23de6eade7d376a0
0,DPKI,1,management,true,false,1627.1833331842904,11214.98183318572,11498.943833138514,283.9619999527931,0,283.9619999527931,-1,0,2,0,"{""dpkiManagementDispatchHttp"":3.3230000138282776,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":23.09060001373291,""dpkiManagementOpenSslIssueKeygen"":39.66069996356964,""dpkiManagementOpenSslIssueCsr"":18.2878999710083,""dpkiManagementOpenSslIssueSignCert"":14.059099972248077,""dpkiManagementOpenSslIssueExtractPubkey"":10.218999981880188,""dpkiManagementIssueCertificate"":83.98580002784729,""dpkiManagementOpenSslVerifyLeaf"":10.578999996185303,""dpkiManagementLeafAssertionSign"":13.041299998760223,""dpkiManagementLeafAssertionVerify"":9.775999963283539,""dpkiManagementOpenSslVerifyIssuerCA"":10.140100002288818,""dpkiManagementIssuerAssertionSign"":12.509399950504303,""dpkiManagementIssuerAssertionVerify"":9.966300010681152,""dpkiManagementVerifyRepositoryUpdateLocal"":0.007599949836730957,""dpkiManagementBuildMpt"":4.119700014591217,""dpkiManagementPutCertAndRootTx"":93.45840001106262,""dpkiManagementRepositoryHttpVerify"":9.067700028419495}",1,6671082,0x4f6f9daa8b7de7b6047ec7b9c1e7a9d5c45c625d17757add88f3dec2442f510e
0,DPKI,2,management,true,false,2592.0137438960624,12179.812243897493,12422.204743880804,242.3924999833107,0,242.3924999833107,-1,0,2,0,"{""dpkiManagementDispatchHttp"":19.078400015830994,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":14.896700024604797,""dpkiManagementOpenSslIssueKeygen"":26.56199997663498,""dpkiManagementOpenSslIssueCsr"":17.812799990177155,""dpkiManagementOpenSslIssueSignCert"":13.484799981117249,""dpkiManagementOpenSslIssueExtractPubkey"":8.892300009727478,""dpkiManagementIssueCertificate"":68.36989998817444,""dpkiManagementOpenSslVerifyLeaf"":9.939099967479706,""dpkiManagementLeafAssertionSign"":12.622500002384186,""dpkiManagementLeafAssertionVerify"":9.02480000257492,""dpkiManagementOpenSslVerifyIssuerCA"":8.698199987411499,""dpkiManagementIssuerAssertionSign"":16.393400013446808,""dpkiManagementIssuerAssertionVerify"":9.373500049114227,""dpkiManagementVerifyRepositoryUpdateLocal"":0.007200002670288086,""dpkiManagementBuildMpt"":3.2592999935150146,""dpkiManagementPutCertAndRootTx"":63.44319999217987,""dpkiManagementRepositoryHttpVerify"":6.253999948501587}",1,6671088,0xaef220305d25c6601ef3ff7c54e1cc494e305901099aaa8e0b7cb1e2cd9edbb8
0,DPKI,3,management,true,false,6300.950749741944,15888.749249743374,16136.916149722489,248.16689997911453,0,248.16689997911453,-1,0,2,0,"{""dpkiManagementDispatchHttp"":4.254599988460541,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":3.052000045776367,""dpkiManagementOpenSslIssueKeygen"":44.8639999628067,""dpkiManagementOpenSslIssueCsr"":17.39469999074936,""dpkiManagementOpenSslIssueSignCert"":13.096500039100647,""dpkiManagementOpenSslIssueExtractPubkey"":8.911399960517883,""dpkiManagementIssueCertificate"":86.0368999838829,""dpkiManagementOpenSslVerifyLeaf"":9.775200009346008,""dpkiManagementLeafAssertionSign"":12.229700028896332,""dpkiManagementLeafAssertionVerify"":9.489300012588501,""dpkiManagementOpenSslVerifyIssuerCA"":9.050899982452393,""dpkiManagementIssuerAssertionSign"":11.82719999551773,""dpkiManagementIssuerAssertionVerify"":9.100000023841858,""dpkiManagementVerifyRepositoryUpdateLocal"":0.007899999618530273,""dpkiManagementBuildMpt"":2.9336000084877014,""dpkiManagementPutCertAndRootTx"":83.44510000944138,""dpkiManagementRepositoryHttpVerify"":6.129999995231628}",1,6671093,0xdcf53f4636f66c5b636d983b2944ad86ee443404fdac66fdc0fb76d86cc7b283
0,DPKI,4,management,true,false,6434.929098448856,16022.727598450287,16236.368898472889,213.64130002260208,0,213.64130002260208,-1,0,2,0,"{""dpkiManagementDispatchHttp"":10.087500035762787,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":2.38400000333786,""dpkiManagementOpenSslIssueKeygen"":37.325800001621246,""dpkiManagementOpenSslIssueCsr"":18.197300016880035,""dpkiManagementOpenSslIssueSignCert"":13.241599977016449,""dpkiManagementOpenSslIssueExtractPubkey"":9.07590001821518,""dpkiManagementIssueCertificate"":79.77079999446869,""dpkiManagementOpenSslVerifyLeaf"":9.82970005273819,""dpkiManagementLeafAssertionSign"":11.433999955654144,""dpkiManagementLeafAssertionVerify"":8.974300026893616,""dpkiManagementOpenSslVerifyIssuerCA"":9.341800034046173,""dpkiManagementIssuerAssertionSign"":11.498800039291382,""dpkiManagementIssuerAssertionVerify"":9.137399971485138,""dpkiManagementVerifyRepositoryUpdateLocal"":0.006699979305267334,""dpkiManagementBuildMpt"":2.8431000113487244,""dpkiManagementPutCertAndRootTx"":52.51840001344681,""dpkiManagementRepositoryHttpVerify"":4.844900012016296}",1,6671095,0x998df2af2244a97849dcca6962ed1c633e689da0fbd7d41ae0964dd87b3f6193
0,DPKI,5,management,true,false,8214.559841589995,17802.358341591425,18092.787741618224,290.42940002679825,0,290.42940002679825,-1,0,2,0,"{""dpkiManagementDispatchHttp"":2.5266000032424927,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":21.48309999704361,""dpkiManagementOpenSslIssueKeygen"":24.746899962425232,""dpkiManagementOpenSslIssueCsr"":17.400899946689606,""dpkiManagementOpenSslIssueSignCert"":13.673000037670135,""dpkiManagementOpenSslIssueExtractPubkey"":8.91729998588562,""dpkiManagementIssueCertificate"":66.40310001373291,""dpkiManagementOpenSslVerifyLeaf"":10.150000035762787,""dpkiManagementLeafAssertionSign"":11.80129998922348,""dpkiManagementLeafAssertionVerify"":9.060400009155273,""dpkiManagementOpenSslVerifyIssuerCA"":8.956499993801117,""dpkiManagementIssuerAssertionSign"":11.789799988269806,""dpkiManagementIssuerAssertionVerify"":9.235400021076202,""dpkiManagementVerifyRepositoryUpdateLocal"":0.0076999664306640625,""dpkiManagementBuildMpt"":3.046999990940094,""dpkiManagementPutCertAndRootTx"":118.20230001211166,""dpkiManagementRepositoryHttpVerify"":16.808299958705902}",1,6671099,0x93287bdde57cba99f82bb09f531beaa55785da26c242bc99b4101121d0770e7d
0,DPKI,6,management,true,false,12928.198009665492,22515.996509666922,22779.969609673502,263.97310000658035,0,263.97310000658035,-1,0,2,0,"{""dpkiManagementDispatchHttp"":27.839800000190735,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":1.9603000283241272,""dpkiManagementOpenSslIssueKeygen"":28.843299984931946,""dpkiManagementOpenSslIssueCsr"":17.198599994182587,""dpkiManagementOpenSslIssueSignCert"":13.056299984455109,""dpkiManagementOpenSslIssueExtractPubkey"":9.077600002288818,""dpkiManagementIssueCertificate"":69.78500002622604,""dpkiManagementOpenSslVerifyLeaf"":12.448900043964386,""dpkiManagementLeafAssertionSign"":11.832000017166138,""dpkiManagementLeafAssertionVerify"":9.015099942684174,""dpkiManagementOpenSslVerifyIssuerCA"":9.816100001335144,""dpkiManagementIssuerAssertionSign"":11.816799998283386,""dpkiManagementIssuerAssertionVerify"":9.222699999809265,""dpkiManagementVerifyRepositoryUpdateLocal"":0.008099973201751709,""dpkiManagementBuildMpt"":3.1114999651908875,""dpkiManagementPutCertAndRootTx"":79.78469997644424,""dpkiManagementRepositoryHttpVerify"":16.386900007724762}",1,6671103,0xb021a358adff5f5f5a45949d44572aff1fee6d029afb206ebae316439ece43a2
0,DPKI,7,management,true,false,17770.919839436814,27358.718339438245,27609.960339481637,251.24200004339218,0,251.24200004339218,-1,0,2,0,"{""dpkiManagementDispatchHttp"":1.959500014781952,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":5.56740003824234,""dpkiManagementOpenSslIssueKeygen"":53.85379999876022,""dpkiManagementOpenSslIssueCsr"":17.263300001621246,""dpkiManagementOpenSslIssueSignCert"":13.287000000476837,""dpkiManagementOpenSslIssueExtractPubkey"":8.86269998550415,""dpkiManagementIssueCertificate"":94.90139997005463,""dpkiManagementOpenSslVerifyLeaf"":9.570499956607819,""dpkiManagementLeafAssertionSign"":11.701900005340576,""dpkiManagementLeafAssertionVerify"":8.93639999628067,""dpkiManagementOpenSslVerifyIssuerCA"":9.057799994945526,""dpkiManagementIssuerAssertionSign"":12.105199992656708,""dpkiManagementIssuerAssertionVerify"":9.30979996919632,""dpkiManagementVerifyRepositoryUpdateLocal"":0.008000016212463379,""dpkiManagementBuildMpt"":2.7598000168800354,""dpkiManagementPutCertAndRootTx"":80.78990000486374,""dpkiManagementRepositoryHttpVerify"":3.677899956703186}",1,6671109,0x778660fc18811934647013a595667c792074a7752740d16d02be118cec18e717
0,DPKI,8,management,true,false,19706.20201100431,29294.00051100574,29552.594210997442,258.59369999170303,0,258.59369999170303,-1,0,2,0,"{""dpkiManagementDispatchHttp"":24.075600028038025,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":15.455399990081787,""dpkiManagementOpenSslIssueKeygen"":28.822899997234344,""dpkiManagementOpenSslIssueCsr"":17.65169996023178,""dpkiManagementOpenSslIssueSignCert"":13.01450002193451,""dpkiManagementOpenSslIssueExtractPubkey"":9.067300021648407,""dpkiManagementIssueCertificate"":70.35589998960495,""dpkiManagementOpenSslVerifyLeaf"":9.481399953365326,""dpkiManagementLeafAssertionSign"":11.908699989318848,""dpkiManagementLeafAssertionVerify"":8.953799962997437,""dpkiManagementOpenSslVerifyIssuerCA"":8.716500043869019,""dpkiManagementIssuerAssertionSign"":11.704500019550323,""dpkiManagementIssuerAssertionVerify"":8.990700006484985,""dpkiManagementVerifyRepositoryUpdateLocal"":0.0076999664306640625,""dpkiManagementBuildMpt"":2.4538000226020813,""dpkiManagementPutCertAndRootTx"":68.0968000292778,""dpkiManagementRepositoryHttpVerify"":17.264299988746643}",1,6671112,0x5a4ec640ed9f3a83f2536fdfad40c3fbd6cc16bd026c35be2d4642a171ab8db0
0,DPKI,9,management,true,false,21816.578178346903,31404.376678348333,31640.318878353388,235.94220000505447,0,235.94220000505447,-1,0,2,0,"{""dpkiManagementDispatchHttp"":4.425499975681305,""dpkiManagementRelayHttp"":0,""dpkiManagementHttpWindow"":5.835200011730194,""dpkiManagementOpenSslIssueKeygen"":32.084299981594086,""dpkiManagementOpenSslIssueCsr"":17.411199986934662,""dpkiManagementOpenSslIssueSignCert"":12.768499970436096,""dpkiManagementOpenSslIssueExtractPubkey"":8.8885999917984,""dpkiManagementIssueCertificate"":72.84839999675751,""dpkiManagementOpenSslVerifyLeaf"":9.581999957561493,""dpkiManagementLeafAssertionSign"":12.460899949073792,""dpkiManagementLeafAssertionVerify"":9.09529995918274,""dpkiManagementOpenSslVerifyIssuerCA"":8.931699991226196,""dpkiManagementIssuerAssertionSign"":12.193599998950958,""dpkiManagementIssuerAssertionVerify"":9.339599967002869,""dpkiManagementVerifyRepositoryUpdateLocal"":0.008799970149993896,""dpkiManagementBuildMpt"":3.469200015068054,""dpkiManagementPutCertAndRootTx"":81.97820001840591,""dpkiManagementRepositoryHttpVerify"":4.929000020027161}",1,6671118,0xe6be2ce44e3a637ab210f59f20ca103c9ec5946208565748800ca743263eda31
