epsilon,model,requestIndex,kind,onChain,crossDomain,arrivalOffsetMs,arrivalWallMs,finishWallMs,latencyMs,queueMs,serviceMs,workerId,chainReads,verifiedCertificateSteps,proofNodes,stageTimingsJson,chainTxCount,chainBlockNumbers,chainTxHashes
0,DPKI,0,intra-off-chain,false,false,0,9009.104300022125,9076.271300017834,67.16699999570847,0,67.16699999570847,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.5049999952316284,""dpkiMptProofHttpQuery"":11.863600015640259,""dpkiMptProofSignerCertVerify"":10.973400056362152,""dpkiMptProofResponseVerify"":0.7669999599456787,""dpkiChainRootRead"":2.9966999888420105,""dpkiMptVerify"":0.8920000195503235,""dpkiOpenSslVerifyCert"":9.983500003814697,""dpkiOffchainAssertionSign"":12.385200023651123,""dpkiOffchainAssertionVerify"":10.30950003862381,""dpkiAuthSignature"":5.1331000328063965}",0,,
0,DPKI,1,intra-off-chain,false,false,2500.0784290630327,11509.182729085158,11570.951829095553,61.76910001039505,0,61.76910001039505,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":4.200399994850159,""dpkiMptProofHttpQuery"":5.293600022792816,""dpkiMptProofSignerCertVerify"":10.013700008392334,""dpkiMptProofResponseVerify"":0.5521000027656555,""dpkiChainRootRead"":2.6967000365257263,""dpkiMptVerify"":0.592199981212616,""dpkiOpenSslVerifyCert"":12.722699999809265,""dpkiOffchainAssertionSign"":12.90829998254776,""dpkiOffchainAssertionVerify"":9.45550000667572,""dpkiAuthSignature"":2.8621000051498413}",0,,
0,DPKI,2,intra-off-chain,false,false,3806.828966528641,12815.933266550766,12870.827666551339,54.894400000572205,0,54.894400000572205,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.26340001821517944,""dpkiMptProofHttpQuery"":6.646600008010864,""dpkiMptProofSignerCertVerify"":10.116099953651428,""dpkiMptProofResponseVerify"":0.5763999819755554,""dpkiChainRootRead"":1.868499994277954,""dpkiMptVerify"":0.5591999888420105,""dpkiOpenSslVerifyCert"":10.113600015640259,""dpkiOffchainAssertionSign"":11.74889999628067,""dpkiOffchainAssertionVerify"":9.455599963665009,""dpkiAuthSignature"":3.115000009536743}",0,,
0,DPKI,3,intra-off-chain,false,false,8507.326962665093,17516.43126268722,17569.46466268636,53.03339999914169,0,53.03339999914169,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":1.0976999998092651,""dpkiMptProofHttpQuery"":5.452099978923798,""dpkiMptProofSignerCertVerify"":9.450200021266937,""dpkiMptProofResponseVerify"":0.4717000126838684,""dpkiChainRootRead"":2.170199990272522,""dpkiMptVerify"":0.5776999592781067,""dpkiOpenSslVerifyCert"":10.133599996566772,""dpkiOffchainAssertionSign"":11.608399987220764,""dpkiOffchainAssertionVerify"":8.763300001621246,""dpkiAuthSignature"":2.7709999680519104}",0,,
0,DPKI,4,intra-off-chain,false,false,8624.041429037045,17633.14572905917,17681.662329012346,48.51659995317459,0,48.51659995317459,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.9538999795913696,""dpkiMptProofHttpQuery"":3.1110000014305115,""dpkiMptProofSignerCertVerify"":9.079099953174591,""dpkiMptProofResponseVerify"":0.5347999930381775,""dpkiChainRootRead"":2.177299976348877,""dpkiMptVerify"":0.5170000195503235,""dpkiOpenSslVerifyCert"":9.169700026512146,""dpkiOffchainAssertionSign"":11.236699998378754,""dpkiOffchainAssertionVerify"":8.889100015163422,""dpkiAuthSignature"":2.3944000005722046}",0,,
0,DPKI,5,intra-off-chain,false,false,10912.537465268722,19921.64176529085,19974.797565335386,53.15580004453659,0,53.15580004453659,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.6191999912261963,""dpkiMptProofHttpQuery"":7.577600002288818,""dpkiMptProofSignerCertVerify"":9.265500009059906,""dpkiMptProofResponseVerify"":0.4366999864578247,""dpkiChainRootRead"":2.1007999777793884,""dpkiMptVerify"":0.5496000051498413,""dpkiOpenSslVerifyCert"":9.284200012683868,""dpkiOffchainAssertionSign"":11.606599986553192,""dpkiOffchainAssertionVerify"":8.46230000257492,""dpkiAuthSignature"":2.5950000286102295}",0,,
0,DPKI,6,intra-off-chain,false,false,14635.707907722513,23644.81220774464,23707.435107753794,62.62290000915527,0,62.62290000915527,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.11140000820159912,""dpkiMptProofHttpQuery"":15.298600018024445,""dpkiMptProofSignerCertVerify"":9.470600008964539,""dpkiMptProofResponseVerify"":0.4622000455856323,""dpkiChainRootRead"":2.2810999751091003,""dpkiMptVerify"":0.5347000360488892,""dpkiOpenSslVerifyCert"":9.631999969482422,""dpkiOffchainAssertionSign"":12.286300003528595,""dpkiOffchainAssertionVerify"":9.828199982643127,""dpkiAuthSignature"":2.2942000031471252}",0,,
0,DPKI,7,intra-off-chain,false,false,15317.160230498439,24326.264530520566,24381.218730490335,54.954199969768524,0,54.954199969768524,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":1.1230000257492065,""dpkiMptProofHttpQuery"":6.6735000014305115,""dpkiMptProofSignerCertVerify"":10.029500007629395,""dpkiMptProofResponseVerify"":0.5415999889373779,""dpkiChainRootRead"":2.195800006389618,""dpkiMptVerify"":0.5144000053405762,""dpkiOpenSslVerifyCert"":9.722299993038177,""dpkiOffchainAssertionSign"":11.883700013160706,""dpkiOffchainAssertionVerify"":9.443800032138824,""dpkiAuthSignature"":2.365400016307831}",0,,
0,DPKI,8,intra-off-chain,false,false,15399.140834226628,24408.245134248755,24460.645134284518,52.40000003576279,0,52.40000003576279,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.1525999903678894,""dpkiMptProofHttpQuery"":5.580899953842163,""dpkiMptProofSignerCertVerify"":10.111200034618378,""dpkiMptProofResponseVerify"":0.6129999756813049,""dpkiChainRootRead"":2.1072999835014343,""dpkiMptVerify"":0.48809999227523804,""dpkiOpenSslVerifyCert"":9.66210001707077,""dpkiOffchainAssertionSign"":11.542699992656708,""dpkiOffchainAssertionVerify"":8.986699998378754,""dpkiAuthSignature"":2.53329998254776}",0,,
0,DPKI,9,intra-off-chain,false,false,16426.12685501428,25435.231155036407,25487.623555062728,52.39240002632141,0,52.39240002632141,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.5741999745368958,""dpkiMptProofHttpQuery"":5.332800030708313,""dpkiMptProofSignerCertVerify"":9.589800000190735,""dpkiMptProofResponseVerify"":0.510699987411499,""dpkiChainRootRead"":2.424500048160553,""dpkiMptVerify"":0.5121000409126282,""dpkiOpenSslVerifyCert"":10.001699984073639,""dpkiOffchainAssertionSign"":11.69539999961853,""dpkiOffchainAssertionVerify"":9.037199974060059,""dpkiAuthSignature"":2.1585999727249146}",0,,
