mechanism,requestClass,count,totalServiceMs_mean,totalServiceMs_variance,totalServiceMs_std,totalServiceMs_mad,totalServiceMs_p50,totalServiceMs_p95,totalServiceMs_min,totalServiceMs_max,issueUpdateMs_mean,issueUpdateMs_variance,issueUpdateMs_std,issueUpdateMs_mad,issueUpdateMs_p50,issueUpdateMs_p95,issueUpdateMs_min,issueUpdateMs_max,certificateVerificationMs_mean,certificateVerificationMs_variance,certificateVerificationMs_std,certificateVerificationMs_mad,certificateVerificationMs_p50,certificateVerificationMs_p95,certificateVerificationMs_min,certificateVerificationMs_max,statusValidationMs_mean,statusValidationMs_variance,statusValidationMs_std,statusValidationMs_mad,statusValidationMs_p50,statusValidationMs_p95,statusValidationMs_min,statusValidationMs_max,mptValidationMs_mean,mptValidationMs_variance,mptValidationMs_std,mptValidationMs_mad,mptValidationMs_p50,mptValidationMs_p95,mptValidationMs_min,mptValidationMs_max,thresholdValidationMs_mean,thresholdValidationMs_variance,thresholdValidationMs_std,thresholdValidationMs_mad,thresholdValidationMs_p50,thresholdValidationMs_p95,thresholdValidationMs_min,thresholdValidationMs_max,thresholdIssueMs_mean,thresholdIssueMs_variance,thresholdIssueMs_std,thresholdIssueMs_mad,thresholdIssueMs_p50,thresholdIssueMs_p95,thresholdIssueMs_min,thresholdIssueMs_max,chainRecordMs_mean,chainRecordMs_variance,chainRecordMs_std,chainRecordMs_mad,chainRecordMs_p50,chainRecordMs_p95,chainRecordMs_min,chainRecordMs_max,chainStateReadMs_mean,chainStateReadMs_variance,chainStateReadMs_std,chainStateReadMs_mad,chainStateReadMs_p50,chainStateReadMs_p95,chainStateReadMs_min,chainStateReadMs_max,contractExecutionMs_mean,contractExecutionMs_variance,contractExecutionMs_std,contractExecutionMs_mad,contractExecutionMs_p50,contractExecutionMs_p95,contractExecutionMs_min,contractExecutionMs_max,assertionMs_mean,assertionMs_variance,assertionMs_std,assertionMs_mad,assertionMs_p50,assertionMs_p95,assertionMs_min,assertionMs_max,gasUsed_mean,gasUsed_variance,gasUsed_std,gasUsed_mad,gasUsed_p50,gasUsed_p95,gasUsed_min,gasUsed_max,txInputBytes_mean,txInputBytes_variance,txInputBytes_std,txInputBytes_mad,txInputBytes_p50,txInputBytes_p95,txInputBytes_min,txInputBytes_max,rawTxBytes_mean,rawTxBytes_variance,rawTxBytes_std,rawTxBytes_mad,rawTxBytes_p50,rawTxBytes_p95,rawTxBytes_min,rawTxBytes_max,receiptLogBytes_mean,receiptLogBytes_variance,receiptLogBytes_std,receiptLogBytes_mad,receiptLogBytes_p50,receiptLogBytes_p95,receiptLogBytes_min,receiptLogBytes_max,receiptWaitMs_mean,receiptWaitMs_variance,receiptWaitMs_std,receiptWaitMs_mad,receiptWaitMs_p50,receiptWaitMs_p95,receiptWaitMs_min,receiptWaitMs_max,txCount_mean,txCount_variance,txCount_std,txCount_mad,txCount_p50,txCount_p95,txCount_min,txCount_max
traditional-pki,management,2000,120.57456380537339,520.7680796305618,22.820343547601595,6.233544609450401,118.56339983548969,130.5428750072606,108.54710011184216,716.3327999301255,40.87105939653702,45.21030486048942,6.723860859691359,1.7804290742920712,39.947799989022315,45.077410119120024,38.22549991309643,241.84120004065332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.70350440883637,476.66191879565537,21.832588458441098,5.737402367191315,77.85920000076294,89.4388100862503,69.48939990997314,674.5808000564576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traditional-pki,intra-auth,2000,64.32040405333042,160.60119738322894,12.672852772096302,4.394455225327014,62.64995014667511,75.66073992252349,51.19749999046326,361.1248998641968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.127241352558137,37.38673666621948,6.114469450918818,1.4856683999691014,15.266350030899048,19.043854939937592,14.066400051116943,274.81650018692017,8.444640401721001,12.545651473118763,3.541984115311468,2.648793628767371,8.020249962806702,16.64824997186661,1.0480999946594238,20.60700011253357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.74852229905129,103.06733253374159,10.152208258981963,2.429987677865268,38.85769987106323,43.99301500320435,34.95930004119873,326.1087999343872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traditional-pki,cross-auth,2000,257.37662953722474,800.6825133999381,28.29633392155136,12.277236136617768,250.66770017147064,281.5926601648331,232.43639993667605,591.5023999214172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63270703959465,92.18271986382688,9.60118325331971,3.1457902714605326,62.69990003108978,69.66059976816177,57.54770040512085,360.17840003967285,33.676653448224066,48.308141635011715,6.950405861171829,5.163270501847863,33.11175000667572,46.28683516979217,11.927599906921388,70.4835000038147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.06726904940606,568.2202876747377,23.83737166037266,7.668609122978216,156.787899851799,170.92617980241775,144.31820034980774,466.8343999385834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
threshold-validation-dpki,management,2000,227.90475629273243,650.0485188659318,25.49604908345471,14.16745336765929,226.80974989384413,253.57710468629375,152.07980007864535,741.7654995135964,40.87105939653702,45.21030486048942,6.723860859691359,1.7804290742920712,39.947799989022315,45.077410119120024,38.22549991309643,241.84120004065332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.515977349162103,19.944197568324938,4.4658926955677,3.4934353492273096,18.282400012016296,20.973124945163725,4.490099906921387,28.71179986000061,83.52866504955291,270.7676935114302,16.455020313309557,13.21668012015724,78.60709989070892,108.86223001480101,29.64520025253296,154.72060012817383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9890544974804,339.42432402485355,18.42347209471802,5.503571811486483,85.02259993553162,95.97460005283355,72.14260005950928,606.3527998924257,235673.8495,129.16384975000003,11.365027485668481,9.707245499997866,235682.0,235682.0,235588.0,235682.0,260.0,0.0,0.0,0.0,260.0,260.0,260.0,260.0,364.8025,0.28449375000000005,0.5333795552887268,0.34167499999999335,365.0,365.0,362.0,365.0,288.0,0.0,0.0,0.0,288.0,288.0,288.0,288.0,74.45569725048541,278.13020429378696,16.677236110752492,13.332204324326634,70.91990005970001,100.94464997053144,20.158299922943115,146.57860016822815,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
threshold-validation-dpki,intra-auth,2000,76.60632465314865,194.25094449968236,13.937393748462528,7.193168765535831,74.1055998802185,89.59577485322953,59.35989999771118,349.75860023498535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.127241352558137,37.38673666621948,6.114469450918818,1.4856683999691014,15.266350030899048,19.043854939937592,14.066400051116943,274.81650018692017,8.444640401721001,12.545651473118763,3.541984115311468,2.648793628767371,8.020249962806702,16.64824997186661,1.0480999946594238,20.60700011253357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.813593050003051,30.0493236350758,5.481726337120068,4.888621144702911,9.215950012207031,21.167115092277523,2.9800000190734863,24.81730008125305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.220849848866465,103.01407241885862,10.149584839729092,2.782357107445479,39.12275004386902,45.05358511209488,35.27810001373291,305.09020018577576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
threshold-validation-dpki,cross-auth,2000,130.47807500576974,281.37214321806994,16.774151043139856,8.365395915550947,130.04820001125336,144.77008533477786,98.86150002479553,421.63849997520447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.127241352558137,37.38673666621948,6.114469450918818,1.4856683999691014,15.266350030899048,19.043854939937592,14.066400051116943,274.81650018692017,20.280816603183748,32.56107884633483,5.7062315801529495,4.200850861470699,21.187900066375732,29.680945074558256,2.5613999366760254,34.7810001373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.090899198174476,19.909304227555545,4.461984337439515,3.7252553071933985,14.896499991416931,20.07690998315811,3.237799882888794,23.694700002670288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.97911785185337,180.5687548798612,13.437587390594384,4.498732352889181,78.38814985752106,88.02935485839843,70.53909993171692,360.0797998905182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full-contract-onchain,management,2000,252.0536399501879,549.174158521289,23.43446518530536,14.72906757633161,250.29544980451465,278.0403402059339,179.5155998263508,555.635000217706,40.87105939653702,45.21030486048942,6.723860859691359,1.7804290742920712,39.947799989022315,45.077410119120024,38.22549991309643,241.84120004065332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.23814005553723,342.0892936518102,18.495656075192635,13.57886683397293,122.45155000686646,151.07762978076934,53.82490015029907,359.91980028152466,86.94444049811364,196.438109359367,14.015638028979165,4.879128952984096,85.31430006027222,95.41174993515016,72.28840017318726,366.423399925232,235674.166,118.85844399999996,10.902221975358966,9.48697400000054,235682.0,235682.0,235619.0,235682.0,260.0,0.0,0.0,0.0,260.0,260.0,260.0,260.0,364.99,0.009899999999999996,0.09949874371066197,0.01979999999999109,365.0,365.0,364.0,365.0,288.0,0.0,0.0,0.0,288.0,288.0,288.0,288.0,90.68303850197792,301.81727617393625,17.372889114189853,13.149909512174606,88.55644989013672,117.9750049352646,22.20009994506836,179.26799988746643,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
full-contract-onchain,intra-on-chain,2000,165.0607890523672,503.3382895938265,22.435202018119348,15.685147111341598,167.73734974861145,198.73415998220443,94.31959986686707,383.8527002334595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.127241352558137,37.38673666621948,6.114469450918818,1.4856683999691014,15.266350030899048,19.043854939937592,14.066400051116943,274.81650018692017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.37662909734249,454.45856336710074,21.318033759404283,15.635510623330953,108.95024991035461,139.3078600525856,36.66320013999939,255.02800011634827,42.55691860246658,43.486128046104774,6.594401265172205,2.37786544416523,42.22720015048981,46.9347150683403,36.13579988479614,162.62549996376038,357210.8245,235.06469974999996,15.331819844689017,11.996035999998451,357208.0,357230.0,357146.0,357230.0,676.0,0.0,0.0,0.0,676.0,676.0,676.0,676.0,780.987,0.012830999999999999,0.11327400407860577,0.025662000000032777,781.0,781.0,780.0,781.0,160.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0,96.25388254845143,467.93313147494916,21.63176209824223,15.914499969443323,98.00370001792908,128.85778511762618,28.463500022888184,247.74990010261536,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
full-contract-onchain,cross-on-chain,2000,184.39501320648193,632.3503024657718,25.146576356748284,14.905286178813935,183.45660018920898,216.02505009174345,104.8447003364563,702.0923006534576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.254482705116274,149.5469466648779,12.228938901837637,2.9713367999382028,30.532700061798096,38.087709879875185,28.132800102233887,549.6330003738403,9.88979405105114,36.94539819430516,6.0782726324429674,5.755101492488384,7.772449970245361,18.11024992465973,1.0071001052856443,19.736200094223022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5556865991354,455.67761328280335,21.34660659877357,15.53958623779881,94.01144993305206,126.94983489513396,33.18940019607544,297.15750002861023,42.69504985117912,48.139148366801074,6.938238131312666,2.318390223035335,42.30329990386963,46.83759000301361,36.16320013999939,163.7074999809265,363274.379,249.15235899999993,15.784560779445208,12.236165000002075,363272.0,363294.0,363209.0,363294.0,740.0,0.0,0.0,0.0,740.0,740.0,740.0,740.0,844.9875,0.012343750000000006,0.11110243021644489,0.024687500000044337,845.0,845.0,844.0,845.0,160.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0,89.00981970262528,467.3718547906917,21.618784766741438,15.821982913032535,84.56210005283356,119.38871501684187,21.67009997367859,288.5524001121521,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
proposed-dpki,management,2000,210.5815469936449,767.804658340743,27.709288304479113,16.4348740549312,208.60030016768724,243.0464501423761,151.20849972963333,506.84190039150417,40.87105939653702,45.21030486048942,6.723860859691359,1.7804290742920712,39.947799989022315,45.077410119120024,38.22549991309643,241.84120004065332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.3165486997366,389.5501927663432,19.737025935189507,14.466600614265202,84.64914989471436,116.51389017105103,32.12090015411377,219.47689986228943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.39393889737129,333.70190521805097,18.267509551606945,5.437197602835177,84.2414002418518,93.62031002044678,71.87239980697632,394.8434000015258,235673.8575,127.22919374999998,11.279591914160724,9.689574999997568,235682.0,235682.0,235619.0,235682.0,260.0,0.0,0.0,0.0,260.0,260.0,260.0,260.0,364.989,0.010878999999999996,0.10430244484191152,0.02175800000002357,365.0,365.0,364.0,365.0,288.0,0.0,0.0,0.0,288.0,288.0,288.0,288.0,74.52682204854489,399.9196923458197,19.997992207864762,14.83265692703116,74.58224999904633,106.63790001869202,20.38819980621338,209.7288999557495,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
