mechanism,requestClass,rounds,meanRawLatencyMs,medianRawLatencyMs,p95RawLatencyMs,meanNormalizedLatencyMs,medianNormalizedLatencyMs,p95NormalizedLatencyMs,meanGasUsed,meanTxInputBytes,meanRawTxBytes,meanReceiptLogBytes,meanStateWriteBytesEstimated,meanChainReads,meanProofNodes,meanVerifiedCertificateSteps,meanIssueUpdateMs,meanStatusValidationMs,meanCertVerificationMs,meanSignatureMs,meanContractExecutionMs
full-contract-onchain,cross-on-chain,2000,147.97581810057164,125.06069999933243,322.499329996109,147.971217099905,125.05584990978241,322.4947850644589,372971.832,708.0,813.9845,256.0,544.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,147.971217099905
full-contract-onchain,intra-on-chain,2000,138.20324209982158,123.51555001735687,298.34503995180086,138.2000413506031,123.512600004673,298.341070002317,368842.032,644.0,749.987,256.0,544.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,138.2000413506031
full-contract-onchain,management,2000,272.03074620211123,248.96749997138977,435.22315497398375,210.71411230510472,188.83095002174377,374.2965601623058,69073.036,228.0,332.9875,192.0,256.0,0.0,0.0,2.0,98.3603983527422,0.0,0.0,0.0,112.35371395236254
ocsp-onchain-baseline,cross-on-chain,2000,202.71978825068473,184.05934995412827,384.24826001524923,179.71490579903127,161.07620000839233,358.33053504228576,331736.88,675.662,781.991,256.0,480.0,0.0,0.0,2.0,0.0,27.853946749150754,18.90726844894886,0.0,132.95369060093165
ocsp-onchain-baseline,intra-on-chain,2000,171.6258424988389,153.6490499973297,341.2751849472523,148.6942377485633,130.17644995450974,318.6387350797653,327607.824,612.0,717.983,256.0,480.0,0.0,0.0,1.0,0.0,13.638176449656486,9.723131649076938,0.0,125.33292964982986
ocsp-onchain-baseline,management,2000,271.2512481022477,249.16385000944138,419.77681003808976,209.92738289695978,189.08745002746582,359.23015028238297,69072.844,228.0,332.9895,192.0,256.0,0.0,0.0,2.0,98.11741664659976,0.0,0.0,0.0,111.80996625036
proposed-dpki,cross-on-chain,2000,233.47474449962377,213.1055999994278,398.4182699978351,175.44705400180817,152.78760015964508,337.985759973526,225411.314,548.0,653.9875,160.0,320.0,2.0,130.0,2.0,0.0,29.531538201987743,18.77315129983425,0.0,127.14236449998617
proposed-dpki,intra-off-chain,2000,71.27218129920959,67.62695002555847,106.0619399368763,23.886255099654196,19.55964994430542,44.390175056457515,0.0,0.0,0.0,0.0,0.0,1.0,65.0,1.0,0.0,14.539158099353314,9.347097000300884,0.0,0.0
proposed-dpki,intra-on-chain,2000,189.3237330006361,167.6629500389099,364.8102049708366,141.20251124835013,118.01770001649857,310.6694649934769,221283.054,483.516,0.0,160.0,319.68,1.0,65.0,1.0,0.0,14.955504898250103,9.407217250347138,0.0,116.8397890997529
proposed-dpki,management,2000,289.8350855010748,270.6789000034332,452.3244500994682,197.89432480025292,175.4378000497818,359.20127002000805,76346.434,260.0,0.0,288.0,288.0,0.0,0.0,2.0,84.83332520008088,0.0,0.0,0.0,113.06099960017204
traditional-pki,cross-auth,2000,176.20085564863683,170.8504500389099,200.81481993198395,97.65784756142594,92.46372145039535,118.80071649772621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,61.65844021040893,35.999407351017,0.0,0.0
traditional-pki,intra-auth,2000,43.980090499460694,42.03470003604889,59.62925502061842,25.76585756026941,24.004327499918517,41.324862563662094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.737288560084874,9.028569000184536,0.0,0.0
traditional-pki,management,2000,161.34254580068588,158.8224499821663,200.32691502571106,99.42612480086088,97.27969992160797,138.178870087862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,99.42612480086088,0.0,0.0,0.0,0.0
