epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,lambda,runDir,meanBlockMs
0.1,DPKI,cross-domain,900,209.6422499876632,200.35616589188575,208.12532399125644,198.83923989547623,9.286084095780199,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,intra-off-chain,6075,62.61427007480904,62.61427007480904,61.159516297367865,61.159516297367865,0.0,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,intra-on-chain,2025,208.4483590759975,198.97094355418358,206.96330480404086,197.48588928222657,9.477415521814303,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,management,1000,365.6631840459398,356.48634639906885,295.43200234988177,286.25516470301153,9.176837646870217,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,cross-domain,900,212.73806547584414,194.76610732913016,211.21194781246024,193.2399896657467,17.97195814671353,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_6_r10000,100.0
0.1,DPKI,intra-off-chain,6075,62.77070635410984,62.77070635410984,61.267560692481055,61.267560692481055,0.0,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_6_r10000,100.0
0.1,DPKI,intra-on-chain,2025,215.24617877358583,197.91463511125542,213.6953151690406,196.3637715067098,17.331543662330777,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_6_r10000,100.0
0.1,DPKI,management,1000,368.36766759777703,348.4779912023544,301.1478761913808,281.2581997959614,19.88967639541945,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_6_r10000,100.0
0.1,DPKI,cross-domain,900,239.5219570790757,201.41521588484446,238.0659886383063,199.95924744407336,38.10674119423293,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_8_r10000,100.0
0.1,DPKI,intra-off-chain,6075,63.00534281473592,63.00534281473592,61.543945168801294,61.543945168801294,0.0,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\lambda_experiment\aggressive_three_lambdap_100_90_80_lambda2_20_r10000_blockms_100_lambda_8_r10000,100.0
