label,mechanism,requestClass,meanMs,stdMs,p50Ms,p95Ms,varianceMs2,madMs
our proposed DPKI alg. 1,proposed-dpki,intra-off-chain,64.08900194549561,11.968309525028795,62.49315011501312,74.70140017271042,143.24043288689498,4.300312911989213
our proposed DPKI alg. 2,proposed-dpki,intra-on-chain,138.3281889463663,29.91482368011028,134.39055001735687,206.71584500074383,894.8966758120868,21.781784240414023
Centralized PKI,traditional-pki,intra-auth,64.32040405333042,12.672852772096302,62.64995014667511,75.66073992252349,160.60119738322894,4.394455225327014
Multi-CA based DPKI,threshold-validation-dpki,intra-auth,76.60632465314865,13.937393748462528,74.1055998802185,89.59577485322953,194.2509444996824,7.193168765535831
full-contract DPKI,full-contract-onchain,intra-on-chain,165.0607890523672,22.435202018119348,167.73734974861145,198.73415998220443,503.3382895938265,15.685147111341598
our proposed DPKI alg. 3,proposed-dpki,cross-on-chain,146.7889156216383,34.28968694440676,135.96365010738373,217.70203473567963,1175.7826307454195,27.51222332930804
Centralized PKI,traditional-pki,cross-auth,257.37662953722474,28.29633392155136,250.66770017147064,281.5926601648331,800.6825133999381,12.277236136617768
Multi-CA based DPKI,threshold-validation-dpki,cross-auth,130.47807500576974,16.774151043139856,130.04820001125336,144.77008533477786,281.37214321806994,8.365395915550947
full-contract DPKI,full-contract-onchain,cross-on-chain,184.39501320648196,25.146576356748284,183.45660018920896,216.02505009174345,632.3503024657718,14.905286178813936
our proposed DPKI,proposed-dpki,management,210.5815469936449,27.709288304479117,208.60030016768724,243.0464501423761,767.804658340743,16.4348740549312
Centralized PKI,traditional-pki,management,120.5745638053734,22.820343547601595,118.56339983548968,130.5428750072606,520.7680796305618,6.233544609450401
Multi-CA based DPKI,threshold-validation-dpki,management,227.90475629273243,25.49604908345471,226.80974989384413,253.57710468629372,650.0485188659318,14.16745336765929
full-contract DPKI,full-contract-onchain,management,252.0536399501879,23.43446518530536,250.29544980451465,278.0403402059339,549.174158521289,14.72906757633161
