label,mechanism,requestClass,meanMs,stdMs,p50Ms,p95Ms,varianceMs2,madMs
Traditional PKI,traditional-pki,intra-auth,63.579961700439455,11.808842588039642,62.28249990940094,72.62187005281449,139.4487632690988,3.5768643381214145
Threshold DPKI,threshold-validation-dpki,intra-auth,78.29260555291175,11.354207697109189,78.09699988365173,90.31013996601104,128.9180324290935,6.943282857222319
Full-contract DPKI,full-contract-onchain,intra-on-chain,152.3862982504368,185.9908924285485,53.17244982719421,524.8507451295852,34592.6120663679,128.85035096419645
Our-proposed DPKI (off-chain),proposed-dpki,intra-off-chain,66.78187099564076,14.22014909622499,64.43660008907318,78.4275200009346,202.2126403188684,6.047370525181057
Our-proposed DPKI (on-chain),proposed-dpki,intra-on-chain,176.15269159162045,168.29757795194558,88.73235011100769,516.9353099584579,28324.0747444912,118.49228580887758
Traditional PKI,traditional-pki,cross-auth,266.1506602572203,32.0286163039742,257.18220007419586,309.08579473495485,1025.8322623472015,18.373398912356745
Threshold DPKI,threshold-validation-dpki,cross-auth,131.72543344509603,16.03337817748995,131.2036496400833,144.26926468610765,257.06921578241094,7.392355285579921
Full-contract DPKI,full-contract-onchain,cross-on-chain,159.6808821965456,183.81310651781683,66.82039988040924,538.0705750584602,33787.25812773028,125.58684189934242
Our-proposed DPKI,proposed-dpki,cross-on-chain,186.0642779711485,169.93991113738065,99.95997512340546,552.3157872378825,28879.573397380827,118.78539475043247
Traditional PKI,traditional-pki,management,64.1585735502243,10.224893298747476,63.21839988231659,70.51546493768691,104.54844297077103,3.528140621491432
Threshold DPKI,threshold-validation-dpki,management,150.85762084138395,167.3912820620893,68.03034996986389,523.9210045576093,28019.841310389937,113.07852488405992
Full-contract DPKI,full-contract-onchain,management,143.0291834526062,171.94257277606292,51.6435500383377,499.1713852882383,29564.248332851697,119.99792086414146
Our-proposed DPKI,proposed-dpki,management,161.24806624937057,162.67700271693573,77.81300008296967,490.1166646122932,26463.80721296592,112.59139218462418
