Mechanism,Request,External payload B,On-chain storage B,Gas (10^3),Internal coordination B
Our proposed DPKI,Mgmt.,1615.0,654.0,235.697,
Our proposed DPKI,Intra-off,1585.0,,,
Our proposed DPKI,Intra-on,2342.0,590.0,281.469,
Our proposed DPKI,Cross,3925.0,590.0,281.485,
Centralized PKI,Mgmt.,1262.0,,,
Centralized PKI,Intra,384.0,,,
Centralized PKI,Cross,1570.0,,,
Multi-CA based DPKI,Mgmt.,1674.0,654.0,235.697,62092.0
Multi-CA based DPKI,Intra,3286.0,,,
Multi-CA based DPKI,Cross,3740.0,,,
full-contract DPKI,Mgmt.,644.0,654.0,235.697,
full-contract DPKI,Intra-on,925.0,942.0,357.23,
full-contract DPKI,Cross,1298.0,1006.0,363.278,
