epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs
0.0,DPKI,intra-off-chain,1260,51.835358333918784,51.835358333918784,51.44167571519576,51.44167571519576,0.0,0.0
0.0,DPKI,intra-on-chain,540,99.1613847163998,98.75118333283397,98.75273860471277,98.34253722114696,0.41020138356581337,0.0
0.0,DPKI,management,200,202.23139709062787,201.54111800029875,201.43948609106155,200.7492070007324,0.6902790903291316,0.0
0.0,PKI,intra-pki,1800,171.28984692317778,158.1579154439933,53.09212669920137,48.16939899997579,2.0376501392255775,2.8850775599999996
0.0,PKI,management,200,196.4859609953853,187.93540800035,149.16745766449137,148.10040449529887,1.0670531691924958,0.0
0.05,DPKI,cross-domain,90,100.6991311116351,100.6991311116351,100.30180000232326,100.30180000232326,0.0,0.0
0.05,DPKI,intra-off-chain,1197,51.74244979066259,51.74244979066259,51.3436124470698,51.3436124470698,0.0,0.0
0.05,DPKI,intra-on-chain,513,103.71906006261682,103.60235945424374,103.25372906834816,103.13702845997513,0.11670060837303232,0.0
0.05,DPKI,management,200,205.226162738243,204.84570399969817,204.4690147343668,204.08855599582196,0.3804587385448576,0.0
0.05,PKI,cross-domain,90,596.7686653913817,577.0953344437811,200.47410739168788,191.8482344498237,1.5371514318641857,7.088721510000001
0.05,PKI,intra-pki,1710,181.36521797484897,168.95761029230573,52.85652113728367,48.720949356928905,1.2504942203547604,2.8850775599999996
0.05,PKI,management,200,216.19372069517962,196.6278329999745,148.89107761788662,147.63161750197412,1.2594601159125158,0.0
0.1,DPKI,cross-domain,180,103.17788166732485,102.18572611096832,102.77623166754044,101.78407611118422,0.9921555563562126,0.0
0.1,DPKI,intra-off-chain,1134,51.65914021206385,51.65914021206385,51.26905731877847,51.26905731877847,0.0,0.0
0.1,DPKI,intra-on-chain,486,102.27568139793698,102.15470658414404,101.88252934110022,101.76155452730724,0.1209748137929779,0.0
0.1,DPKI,management,200,205.9338971361988,205.7634009990096,205.1883886373513,205.01789250016213,0.17049613718918408,0.0
0.1,PKI,cross-domain,180,619.8029333746082,612.639030555884,200.14728996834725,192.4698050002257,0.5887634581215632,7.088721510000001
0.1,PKI,intra-pki,1620,190.2911464971703,174.8841682717756,53.27597398338631,48.09328518476751,2.297611238618786,2.8850775599999996
0.1,PKI,management,200,203.03472159001518,192.90713600084186,152.53084934015348,151.7768254995346,0.7540238406188655,0.0
0.15,DPKI,cross-domain,270,102.22257812646752,101.83631963023433,101.82642553542462,101.44016703919128,0.38625849623333325,0.0
0.15,DPKI,intra-off-chain,1071,52.0154380954169,52.0154380954169,51.624199066787654,51.624199066787654,0.0,0.0
0.15,DPKI,intra-on-chain,459,102.58300089445952,102.12603355096836,102.17924141597567,101.72227407248451,0.4569673434911523,0.0
0.15,DPKI,management,200,205.61744759337947,205.4988259999454,204.8721510946934,204.75352950125932,0.11862159343407257,0.0
0.15,PKI,cross-domain,270,653.0440612610091,637.0772325920838,200.09807467802497,191.99401259047013,1.015340577554862,7.08872151
0.15,PKI,intra-pki,1530,194.79197881217837,179.84133398678958,53.074034701819336,47.92161575127271,2.2673413905466195,2.88507756
0.15,PKI,management,200,201.42347272042403,188.06456599891186,147.35262479672573,146.44409400030972,0.9085307964160347,0.0
0.2,DPKI,cross-domain,360,102.94581039640849,102.01379888877273,102.54249789567659,101.61048638804091,0.9320115076356766,0.0
0.2,DPKI,intra-off-chain,1008,52.00525367050062,52.00525367050062,51.6052635903692,51.6052635903692,0.0,0.0
0.2,DPKI,intra-on-chain,432,104.17010147407962,103.53033588012612,103.77068920689352,103.1309236129401,0.6397655939534254,0.0
0.2,DPKI,management,200,204.04106930283328,203.2093679997325,203.30824580592534,202.47654450282454,0.8317013031007809,0.0
0.2,PKI,cross-domain,360,636.0664648247053,621.85642361078,198.07648737049442,189.9039458327823,1.0838200277120955,7.08872151
