label,mechanism,requestClass,meanMs,stdMs,p50Ms,p95Ms,varianceMs2,madMs,packagingMs,onChainExecutionMs,issueUpdateMs,certVerificationMs,ocspValidationMs,mptValidationMs
Our proposed DPKI alg. 1,proposed-dpki,intra-off-chain,64.0890019454956,11.968309525028795,62.49315011501312,74.70140017271042,143.24043288689498,4.300312911989213,0.0,0.0,0.0,55.459204146981236,0.0,8.629797798514366
Our proposed DPKI alg. 2,proposed-dpki,intra-on-chain,138.3281889463663,29.91482368011028,134.39055001735687,206.71584500074383,894.8966758120868,21.781784240414023,60.96186109757424,6.537637396574013,0.0,58.914923751831054,0.0,11.913766700387
Centralized PKI,traditional-pki,intra-auth,64.32040405333042,12.672852772096302,62.64995014667511,75.66073992252349,160.60119738322894,4.394455225327014,0.0,0.0,0.0,55.875763651609425,8.444640401721001,0.0
Multi-CA based DPKI,threshold-validation-dpki,intra-auth,76.60632465314866,13.937393748462528,74.1055998802185,89.59577485322953,194.2509444996824,7.193168765535831,0.0,0.0,0.0,68.16168425142766,8.444640401721001,0.0
Full contract DPKI,full-contract-onchain,intra-on-chain,165.0607890523672,22.435202018119348,167.73734974861145,198.73415998220443,503.3382895938265,15.685147111341598,59.061861097574244,105.99892795479295,0.0,0.0,0.0,0.0
Our proposed DPKI alg. 3,proposed-dpki,cross-on-chain,146.7889156216383,34.28968694440676,135.96365010738373,217.70203473567963,1175.7826307454195,27.51222332930804,56.061861097574244,9.350111245989787,0.0,57.101160879135136,0.0,24.27578239893913
Centralized PKI,traditional-pki,cross-auth,257.37662953722474,28.29633392155136,250.66770017147064,281.5926601648331,800.6825133999381,12.277236136617768,0.0,0.0,0.0,223.6999760890007,33.676653448224066,0.0
Multi-CA based DPKI,threshold-validation-dpki,cross-auth,130.47807500576974,16.774151043139856,130.04820001125336,144.77008533477786,281.37214321806994,8.365395915550947,0.0,0.0,0.0,110.19725840258599,20.280816603183748,0.0
Full contract DPKI,full-contract-onchain,cross-on-chain,184.39501320648193,25.146576356748284,183.45660018920896,216.02505009174345,632.3503024657718,14.905286178813936,56.661861097574246,127.73315210890769,0.0,0.0,0.0,0.0
Our proposed DPKI,proposed-dpki,management,210.5815469936449,27.709288304479117,208.60030016768724,243.0464501423761,767.804658340743,16.4348740549312,59.561861097574244,24.754687602162356,126.2649982939083,0.0,0.0,0.0
Centralized PKI,traditional-pki,management,120.57456380537339,22.820343547601595,118.56339983548968,130.5428750072606,520.7680796305618,6.233544609450401,0.0,0.0,120.57456380537339,0.0,0.0,0.0
Multi-CA based DPKI,threshold-validation-dpki,management,227.90475629273243,25.49604908345471,226.80974989384413,253.57710468629372,650.0485188659318,14.16745336765929,55.46186109757424,28.06680395197867,144.37609124317953,0.0,0.0,0.0
Full contract DPKI,full-contract-onchain,management,252.05363995018791,23.43446518530536,250.29544980451465,278.0403402059339,549.174158521289,14.72906757633161,61.36186109757425,190.69177885261365,0.0,0.0,0.0,0.0
