requestClass,mechanism,gasK,recordBytes
Management,Our proposed DPKI,235.67385750000003,652.989
Management,Centralized PKI,0.0,0.0
Management,Multi-CA DPKI,235.67384950000002,652.8025
Management,full-contract DPKI,235.67416599999999,652.99
Intra-domain,Our proposed DPKI,281.4649505,588.988
Intra-domain,Centralized PKI,0.0,0.0
Intra-domain,Multi-CA DPKI,0.0,0.0
Intra-domain,full-contract DPKI,357.2108245,940.987
Cross-domain,Our proposed DPKI,281.48118550000004,588.9905
Cross-domain,Centralized PKI,0.0,0.0
Cross-domain,Multi-CA DPKI,0.0,0.0
Cross-domain,full-contract DPKI,363.274379,1004.9875
