epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,lambda,runDir,meanBlockMs
0.1,DPKI,cross-domain,9,199.94145727748602,192.15534444650015,198.51314612820676,190.72703329722086,7.786112830985884,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_100_lambda_2_r100,100.0
0.1,DPKI,intra-off-chain,65,59.32985845895914,59.32985845895914,57.86052459019881,57.86052459019881,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_100_lambda_2_r100,100.0
0.1,DPKI,intra-on-chain,16,213.34751250594854,213.34751250594854,211.75048127025366,211.75048127025366,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_100_lambda_2_r100,100.0
0.1,DPKI,management,10,315.93962000608445,315.93962000608445,260.24414998292923,260.24414998292923,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_100_lambda_2_r100,100.0
0.1,DPKI,cross-domain,9,110.47672220071156,110.47672220071156,108.55617772208319,108.55617772208319,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_40_lambda_2_r100,40.0
0.1,DPKI,intra-off-chain,65,63.17962770095238,63.17962770095238,61.75814305818998,61.75814305818998,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_40_lambda_2_r100,40.0
0.1,DPKI,intra-on-chain,16,149.46913751214743,149.46913751214743,147.6820062622428,147.6820062622428,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_40_lambda_2_r100,40.0
0.1,DPKI,management,10,277.03207997083666,277.03207997083666,208.00483993291854,208.00483993291854,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_40_lambda_2_r100,40.0
0.1,DPKI,cross-domain,9,99.30337778727214,99.30337778727214,97.82578890853458,97.82578890853458,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_25_lambda_2_r100,25.0
0.1,DPKI,intra-off-chain,65,60.83444461455712,60.83444461455712,59.12084000294025,59.12084000294025,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_25_lambda_2_r100,25.0
0.1,DPKI,intra-on-chain,16,104.54596874117851,104.54596874117851,103.22566252201796,103.22566252201796,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_25_lambda_2_r100,25.0
0.1,DPKI,management,10,259.3348099827766,259.3348099827766,207.6865000128746,207.6865000128746,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_blockrate_100_40_25_r100_blockms_25_lambda_2_r100,25.0
