epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,lambda,runDir,meanBlockMs
0.1,DPKI,cross-domain,18,217.83513741230308,201.51861666970782,216.414626332144,200.09810558954874,16.316520742595255,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_2_r200,100.0
0.1,DPKI,intra-off-chain,130,62.264938461780545,62.264938461780545,60.748539223120765,60.748539223120765,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_2_r200,100.0
0.1,DPKI,intra-on-chain,32,195.70999018397515,193.29350940138102,193.40682762783354,190.9903468452394,2.4164807825941352,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_2_r200,100.0
0.1,DPKI,management,20,355.3175819146134,348.0411199867725,273.54883692140356,266.2723749935627,7.276461927840865,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_2_r200,100.0
0.1,DPKI,cross-domain,18,225.14827211105936,221.8317722214593,223.7703054156977,220.45380552609763,3.316499889600083,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_4_r200,100.0
0.1,DPKI,intra-off-chain,130,63.11991614836913,63.11991614836913,61.69491692964847,61.69491692964847,0.0,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_4_r200,100.0
0.1,DPKI,intra-on-chain,32,200.9026537984298,194.17953123524785,199.46173504736885,192.7386124841869,6.72312256318196,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_4_r200,100.0
0.1,DPKI,management,20,337.33287364046373,331.6824599981308,262.04811364214254,256.3976999998093,5.650413642333296,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_4_r200,100.0
0.1,DPKI,cross-domain,18,237.1284666241139,216.7046833170785,235.86723332083193,215.44345001379648,20.42378330703544,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_6_r200,100.0
0.1,DPKI,intra-off-chain,130,63.82063769377195,63.82063769377195,62.159285370203165,62.159285370203165,0.0,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_6_r200,100.0
0.1,DPKI,intra-on-chain,32,243.38526376633,228.89693437889218,242.0627731151695,227.5744437277317,14.488329387437801,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_6_r200,100.0
0.1,DPKI,management,20,365.4822166494742,349.7370849967003,298.6241366021051,282.87900494933126,15.745131652773853,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_6_r200,100.0
0.1,DPKI,cross-domain,18,180.69181662976058,173.8531333208084,178.83042223101833,171.99173892206616,6.838683308952164,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_8_r200,100.0
0.1,DPKI,intra-off-chain,130,63.867140770875494,63.867140770875494,62.34852385429235,62.34852385429235,0.0,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_8_r200,100.0
0.1,DPKI,intra-on-chain,32,186.26555907459334,174.40999375283718,184.79874970124445,172.94318437948823,11.855565321756231,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_8_r200,100.0
0.1,DPKI,management,20,363.95838662007213,358.9707750022411,291.78011157133943,286.79249995350835,4.987611617831044,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_8_r200,100.0
0.1,DPKI,cross-domain,18,204.50900585463285,182.01381112469568,203.28245024890342,180.78725551896625,22.495194729937165,0.0,10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_10_r200,100.0
0.1,DPKI,intra-off-chain,130,66.41870538638189,66.41870538638189,64.86709693211776,64.86709693211776,0.0,0.0,10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_10_r200,100.0
0.1,DPKI,intra-on-chain,32,203.14184267594214,195.8367656096816,201.70286766214957,194.3977905958891,7.305077066260495,0.0,10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_10_r200,100.0
0.1,DPKI,management,20,398.7816446620865,375.33714500665667,326.07372973150467,302.6292300760746,23.444499655430057,0.0,10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_10_r200,100.0
0.1,DPKI,cross-domain,18,269.091466092897,238.96548334095212,267.39297163867224,237.26698888672723,30.125982751945052,0.0,12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_12_r200,100.0
0.1,DPKI,intra-off-chain,130,63.5507915350107,63.5507915350107,62.10346383865063,62.10346383865063,0.0,0.0,12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_12_r200,100.0
0.1,DPKI,intra-on-chain,32,248.37135295110733,192.37598749622703,246.5862998394945,190.59093438461423,55.99536545488027,0.0,12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_12_r200,100.0
0.1,DPKI,management,20,373.61026611172645,316.5887249827385,301.44983608567196,244.4282949566841,57.02154112898785,0.0,12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_12_r200,100.0
0.1,DPKI,cross-domain,18,298.65781949098135,215.04644444915982,296.79282500480844,213.18144996298685,83.61137504182163,0.0,14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_14_r200,100.0
0.1,DPKI,intra-off-chain,130,61.562810769447914,61.562810769447914,60.032023819593284,60.032023819593284,0.0,0.0,14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_14_r200,100.0
0.1,DPKI,intra-on-chain,32,299.00070330447284,206.89690313115716,297.1881939204668,205.0843937471509,92.10380017331588,0.0,14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_14_r200,100.0
0.1,DPKI,management,20,418.78105466892765,317.14610999822617,355.01114967396325,253.37620500326156,101.63494467070169,0.0,14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_14_r200,100.0
0.1,DPKI,cross-domain,18,381.731676362525,180.65750555197397,380.3313929795264,179.2572221689754,201.074170810551,0.0,16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_16_r200,100.0
0.1,DPKI,intra-off-chain,130,63.13139769389079,63.13139769389079,61.419466937505284,61.419466937505284,0.0,0.0,16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_16_r200,100.0
0.1,DPKI,intra-on-chain,32,377.5226542046207,206.45513124763966,375.9941979302009,204.92667497321963,171.06752295698124,0.0,16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_16_r200,100.0
0.1,DPKI,management,20,517.2204134051659,383.17323499917984,446.46760839270166,312.4204299867153,134.04717840598633,0.0,16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_16_r200,100.0
0.1,DPKI,cross-domain,18,221.3568506159039,156.35469999578265,219.80015059156403,154.79799997144275,65.00215062012128,0.0,18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_18_r200,100.0
0.1,DPKI,intra-off-chain,130,61.42586307984132,61.42586307984132,59.935584637751944,59.935584637751944,0.0,0.0,18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_18_r200,100.0
0.1,DPKI,intra-on-chain,32,260.3703376431924,178.87520937994123,258.82780638755975,177.3326781243086,81.49512826325115,0.0,18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_18_r200,100.0
0.1,DPKI,management,20,446.9400158050638,372.8219149947166,374.8295508447271,300.71145003437994,74.11810081034722,0.0,18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_18_r200,100.0
0.1,DPKI,cross-domain,18,985.0781459547438,182.45943888690738,983.4866570834342,180.86795001559787,802.6187070678365,0.0,20.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_20_r200,100.0
0.1,DPKI,intra-off-chain,130,62.1767315360216,62.1767315360216,60.697520739298604,60.697520739298604,0.0,0.0,20.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_20_r200,100.0
