model,kind,stage,count,meanMs,medianMs,minMs,maxMs
DPKI,cross-domain,dpkiCrossRelayHttp,18,0,0,0,0
DPKI,cross-domain,dpkiOnchainAssertionSign,18,12.390894439485338,12.49430000782013,11.371799945831299,14.315400004386902
DPKI,cross-domain,dpkiOnchainAssertionVerify,18,9.983977768156263,10.134199976921082,8.484799981117249,11.675399899482727
DPKI,cross-domain,dpkiOnchainAuthenticateTx,18,133.72273333867392,110.6407499909401,40.00310003757477,324.4524999856949
DPKI,cross-domain,dpkiOnchainAuthSignature,18,2.303433358669281,2.2452500462532043,1.7517000436782837,3.1669000387191772
DPKI,cross-domain,dpkiOnchainCertTransferHttp,18,0.8250777920087179,0.5459499955177307,0.10420000553131104,2.9671000242233276
DPKI,cross-domain,dpkiOnchainMptProofHttpQuery,18,10.750338892141977,9.427449941635132,3.388800024986267,19.13789999485016
DPKI,cross-domain,dpkiOnchainMptProofResponseVerify,18,0.5004055500030518,0.4664999842643738,0.3595999479293823,0.6777999401092529
DPKI,cross-domain,dpkiOnchainMptProofSignerCertVerify,18,11.090016669697231,11.082449972629547,9.754700064659119,12.737300038337708
DPKI,cross-domain,dpkiOnchainMptVerify,18,0.6141666703754001,0.5292999744415283,0.32440006732940674,1.2223000526428223
DPKI,cross-domain,dpkiOnchainOpenSslVerifyCert,18,10.07015554772483,9.827449977397919,8.927600026130676,13.222499966621399
DPKI,cross-domain,dpkiOnchainRelayHttp,18,0,0,0,0
DPKI,cross-domain,dpkiOnchainRootRead,18,2.703083336353302,2.176949977874756,1.938099980354309,6.760699987411499
DPKI,intra-off-chain,dpkiAuthSignature,122,2.2077721308489315,1.946899950504303,1.7039000988006592,3.7960000038146973
DPKI,intra-off-chain,dpkiChainRootRead,122,2.6530983604368616,2.40829998254776,1.7232999801635742,6.165499925613403
DPKI,intra-off-chain,dpkiMptProofHttpQuery,122,13.920283608749264,9.785749971866608,2.172100067138672,43.43050003051758
DPKI,intra-off-chain,dpkiMptProofResponseVerify,122,0.5085024599169121,0.4348500370979309,0.3626999855041504,0.9377000331878662
DPKI,intra-off-chain,dpkiMptProofSignerCertVerify,122,10.70287787523426,10.642250001430511,8.807599902153015,14.917100071907043
DPKI,intra-off-chain,dpkiMptVerify,122,0.5536090233286873,0.36419999599456787,0.3151000738143921,1.194000005722046
DPKI,intra-off-chain,dpkiOffchainAssertionSign,122,12.010745084676586,11.865099966526031,10.847000002861023,18.614699959754944
DPKI,intra-off-chain,dpkiOffchainAssertionVerify,122,9.487890973442891,9.104199945926666,8.255300045013428,13.789399981498718
DPKI,intra-off-chain,dpkiOffchainCertTransferHttp,122,0.9469540988812681,0.788349986076355,0.0327000617980957,3.7519999742507935
DPKI,intra-off-chain,dpkiOpenSslVerifyCert,122,9.903618028906525,9.717350006103516,8.663699984550476,14.96369993686676
DPKI,intra-on-chain,dpkiCrossRelayHttp,40,0,0,0,0
DPKI,intra-on-chain,dpkiOnchainAssertionSign,40,12.497179985046387,12.498600006103516,11.141300082206726,15.169600009918213
DPKI,intra-on-chain,dpkiOnchainAssertionVerify,40,9.635212498903275,9.5378999710083,8.576000094413757,13.34689998626709
DPKI,intra-on-chain,dpkiOnchainAuthenticateTx,40,139.2490400016308,114.68314999341965,25.19920003414154,450.6197999715805
DPKI,intra-on-chain,dpkiOnchainAuthSignature,40,2.36830749809742,2.6171499490737915,1.7218999862670898,3.3624000549316406
DPKI,intra-on-chain,dpkiOnchainCertTransferHttp,40,0.970092487335205,0.765999972820282,0.022899985313415527,4.956699967384338
DPKI,intra-on-chain,dpkiOnchainMptProofHttpQuery,40,9.586165007948875,7.3507000207901,2.5927000045776367,30.661200046539307
DPKI,intra-on-chain,dpkiOnchainMptProofResponseVerify,40,0.552594992518425,0.5853999853134155,0.38339996337890625,0.8279000520706177
DPKI,intra-on-chain,dpkiOnchainMptProofSignerCertVerify,40,11.38601500093937,11.168149948120117,9.713499903678894,18.741100072860718
DPKI,intra-on-chain,dpkiOnchainMptVerify,40,0.6963850051164627,0.8263499736785889,0.32179999351501465,1.5710999965667725
DPKI,intra-on-chain,dpkiOnchainOpenSslVerifyCert,40,10.2471499979496,10.309749960899353,8.815299987792969,12.813400030136108
DPKI,intra-on-chain,dpkiOnchainRelayHttp,40,0,0,0,0
DPKI,intra-on-chain,dpkiOnchainRootRead,40,2.733135002851486,2.8778000473976135,1.7425999641418457,5.856900095939636
DPKI,management,dpkiManagementBuildMpt,20,3.5848750174045563,2.6650500297546387,2.290700078010559,8.12660002708435
DPKI,management,dpkiManagementDispatchHttp,20,26.335995012521742,20.382000029087067,1.9746999740600586,75.01469993591309
