epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,lambda,runDir,meanBlockMs
0.1,DPKI,cross-domain,900,205.48668656957128,203.40700033571986,203.95911533937414,201.87942910552025,2.0796862338538835,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_2_r10000,100.0
0.1,DPKI,intra-off-chain,6075,62.570880229875385,62.570880229875385,61.09381380693412,61.09381380693412,0.0,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_2_r10000,100.0
0.1,DPKI,intra-on-chain,2025,206.7283277297101,205.18932775385585,205.2285699996026,203.68957002374862,1.538999975853992,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_2_r10000,100.0
0.1,DPKI,management,1000,357.7337210580704,355.35954419851305,288.47685605782124,286.1026791982651,2.3741768595561608,0.0,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_2_r10000,100.0
0.1,DPKI,cross-domain,900,205.76733266934767,197.76697588536476,204.2399320182385,196.2395752342542,8.00035678398431,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,intra-off-chain,6075,62.65924256636772,62.65924256636772,61.19508926371979,61.19508926371979,0.0,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,intra-on-chain,2025,206.4610448801213,198.4716864194399,204.95790542436134,196.96854696367993,7.989358460681402,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,management,1000,360.1793726459431,352.48667389774323,294.01318034419154,286.32048159599304,7.692698748198524,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_4_r10000,100.0
0.1,DPKI,cross-domain,900,214.77994440111243,196.13779400229453,213.1982382847811,194.5560878859626,18.642150398818522,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_6_r10000,100.0
0.1,DPKI,intra-off-chain,6075,62.81613412309576,62.81613412309576,61.33649907661564,61.33649907661564,0.0,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_6_r10000,100.0
0.1,DPKI,intra-on-chain,2025,215.62866596721148,196.43250187691348,214.09048009335675,194.8943160030577,19.196164090299057,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_6_r10000,100.0
0.1,DPKI,management,1000,375.0115481095054,357.2618707009554,306.62547720560724,288.8757997970581,17.749677408549136,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\aggressive_gamma025_block100_lambda2_16_r10000_blockms_100_lambda_6_r10000,100.0
