lambda,runDir,txCount,maxSubmitToHashMs,maxHashToReceiptMs,maxTxTotalMs,maxSignMs,maxNonceMs,maxEstimateGasMs,slowTxOver1000ms,slowSubmitOver1000ms,meanBlockMs,configuredLambdaBlock
2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_2_r200,101,8.670699954032898,739.3195000886917,742.0823000669479,1.9608999490737915,0.0073000192642211,0.0,0,0,100.0,10.0
4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_4_r200,101,10.357399940490724,457.9710999727249,462.2403999567032,2.930400013923645,0.0090000629425048,0.0,0,0,100.0,10.0
6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_6_r200,101,4.859099984169006,722.8236999511719,727.0008000135422,1.7697999477386477,0.006600022315979,0.0,0,0,100.0,10.0
8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_8_r200,101,5.883800029754639,452.1669999361038,457.380499958992,3.837899923324585,0.0098999738693237,0.0,0,0,100.0,10.0
10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_10_r200,101,12.460100054740906,536.2484999895096,543.5934000015259,3.8104000091552734,0.0115000009536743,0.0,0,0,100.0,10.0
12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_12_r200,101,6.342100024223328,521.3625000715256,523.9135000705719,2.586699962615967,0.0075999498367309,0.0,0,0,100.0,10.0
14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_14_r200,101,5.477300047874451,607.6847999095917,613.1175000667572,2.625500082969665,0.0076000690460205,0.0,0,0,100.0,10.0
16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_16_r200,101,10.09720003604889,549.0952999591827,552.1964000463486,2.6325000524520874,0.00819993019104,0.0,0,0,100.0,10.0
18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_18_r200,101,5.568000078201294,777.8309000730515,780.8558000326157,1.8386999368667605,0.0090999603271484,0.0,0,0,100.0,10.0
20.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_100_lambda_20_r200,101,8.516700029373169,640.4852999448776,644.9106999635696,5.2042999267578125,0.0088999271392822,0.0,0,0,100.0,10.0
