epsilon,DPKI_sim,PKI_sim,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambda,runDir,meanBlockMs,configuredLambdaBlock,DPKI_in_bounds,DPKI_minus_lower,DPKI_minus_upper,PKI_abs_error,PKI_signed_error
0.1,0.10552599948916322,,1.9509517081705576,0.1,0.19753086419753085,0.3,15.879662644225412,10.579111839956763,12.829448023304828,92.63537571259907,4,1.0,1.0,Fig6 epsilon measured parameters,0.11964699201364667,0.0816377818327053,2.2221257824668927,0.4877379270426394,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_60_lambda_2_r200,60.0,16.666666666666668,True,0.02388821765645792,-0.014120992524483456,,
0.1,0.11274498752892238,,2.0688876114879124,0.1,0.19753086419753085,0.3,15.750359224397023,8.826845571252395,10.760165905188417,111.02494000707354,4,1.0,1.0,Fig6 epsilon measured parameters,0.12858820992063447,0.08260779258630971,2.341345004980254,0.5172219028719781,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_70_lambda_2_r200,70.0,14.285714285714286,True,0.030137194942612675,-0.015843222391712083,,
0.1,0.11726384297751519,,2.1185875656913855,0.1,0.19753086419753085,0.3,16.461301173467593,7.694261455360321,9.276313014379799,127.36764999287469,4,1.0,1.0,Fig6 epsilon measured parameters,0.13154593723534003,0.07895014235985742,2.396062274840832,0.5296468914228464,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_2_r200,100.0,10.0,True,0.038313700617657764,-0.01428209425782484,,
0.1,0.1053599272616536,,4.082013600690054,0.1,0.19753086419753085,0.3,16.213088668153947,9.875314508830485,12.455489174712369,99.23734571933747,4,1.0,1.0,Fig6 epsilon measured parameters,0.13149040259119033,0.08474187962001181,inf,1.0205034001725135,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_70_lambda_4_r200,70.0,14.285714285714286,True,0.020618047641641782,-0.02613047532953673,,
0.1,0.11835971246347758,,4.215806400170727,0.1,0.19753086419753085,0.3,16.20879076861896,7.502485471628108,8.366185868545113,130.62337857314517,4,1.0,1.0,Fig6 epsilon measured parameters,0.14717545839920293,0.08510232481888667,inf,1.0539516000426818,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_4_r200,100.0,10.0,True,0.03325738764459091,-0.028815745935725348,,
0.1,0.1027981317761783,,3.9274334599917036,0.1,0.19753086419753085,0.3,16.080971499928772,10.886866351422622,14.137069063304045,90.01671999692917,4,1.0,1.0,Fig6 epsilon measured parameters,0.12720260743901082,0.08513258095582807,55.39182335746869,0.9818583649979259,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_60_lambda_4_r200,60.0,16.666666666666668,True,0.017665550820350234,-0.02440447566283252,,
0.1,0.10321493616438039,,6.143235304784839,0.1,0.19753086419753085,0.3,16.02591385580094,11.304377329560086,14.157797377014518,86.69208143268312,4,1.0,1.0,Fig6 epsilon measured parameters,0.1384390268872539,0.09163699529512526,inf,1.5358088261962097,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_60_lambda_6_r200,60.0,16.666666666666668,True,0.011577940869255135,-0.03522409072287351,,
0.1,0.10544050546814983,,6.233469237014538,0.1,0.19753086419753085,0.3,16.011956841538684,10.883261724470767,12.359651926437941,90.04653428452356,4,1.0,1.0,Fig6 epsilon measured parameters,0.14092452426210308,0.09201293322470244,inf,1.5583673092536345,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_70_lambda_6_r200,70.0,14.285714285714286,True,0.013427572243447386,-0.035484018793953256,,
0.1,0.13022404384814457,,6.217051277910773,0.1,0.19753086419753085,0.3,16.087701041675146,6.689101941174728,8.924560096449706,146.5069614154952,4,1.0,1.0,Fig6 epsilon measured parameters,0.17078580248721364,0.09143853568858795,inf,1.5542628194776933,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_6_r200,100.0,10.0,True,0.038785508159556614,-0.04056175863906908,,
0.1,0.11536708961541473,,8.386156117643745,0.1,0.19753086419753085,0.3,16.03887210444607,8.247478405876503,9.367266859665396,118.8241971390588,4,1.0,1.0,Fig6 epsilon measured parameters,0.17325168747879174,0.09924704318109026,inf,2.0965390294109363,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_8_r200,100.0,10.0,True,0.016120046434324464,-0.05788459786337702,,
