epsilon,DPKI_sim,PKI_sim,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambda,runDir,meanBlockMs,configuredLambdaBlock,DPKI_in_bounds,DPKI_minus_lower,DPKI_minus_upper,PKI_abs_error,PKI_signed_error
0.1,0.10921418751299382,,1.9509517081705576,0.1,0.19753086419753085,0.3,16.445946045086185,9.029306391354186,9.814358099016273,108.5354685647147,4,1.0,1.0,Fig6 epsilon measured parameters,0.12301174906685237,0.07868493006374118,2.2221257824668927,0.4877379270426394,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_90_lambda_2_r200,90.0,11.11111111111111,True,0.03052925744925264,-0.013797561553858556,,
0.1,0.1192470011279844,,2.0688876114879124,0.1,0.19753086419753085,0.3,15.97474338873139,7.258536325122004,8.509557801697783,135.0134457009179,4,1.0,1.0,Fig6 epsilon measured parameters,0.13718545293505807,0.08138301040315866,2.341345004980254,0.5172219028719781,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_100_lambda_2_r200,100.0,10.0,True,0.03786399072482574,-0.017938451807073666,,
0.1,0.1433344725693065,,2.1185875656913855,0.1,0.19753086419753085,0.3,16.187939084579355,5.005466648201223,6.252487746697656,195.7859414270946,4,1.0,1.0,Fig6 epsilon measured parameters,0.1613994011564724,0.08035822261455966,2.396062274840832,0.5296468914228464,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_2_r200,120.0,8.333333333333334,True,0.06297624995474685,-0.01806492858716588,,
0.1,0.12311420656669056,,4.082013600690054,0.1,0.19753086419753085,0.3,16.940219503265777,6.944497450270692,8.66447410711455,141.1189228619848,4,1.0,1.0,Fig6 epsilon measured parameters,0.14641690386015513,0.08068994274023068,inf,1.0205034001725135,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_100_lambda_4_r200,100.0,10.0,True,0.042424263826459876,-0.02330269729346457,,
0.1,0.1320824484904202,,4.215806400170727,0.1,0.19753086419753085,0.3,15.780036772526476,5.8096283208961275,6.608543430181375,168.685489995139,4,1.0,1.0,Fig6 epsilon measured parameters,0.1684682672493085,0.08771258245221303,inf,1.0539516000426818,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_4_r200,120.0,8.333333333333334,True,0.04436986603820717,-0.0363858187588883,,
0.1,0.11932884666941598,,3.9274334599917036,0.1,0.19753086419753085,0.3,16.39826387437282,7.307894340115541,9.334694058432241,134.10155571358544,4,1.0,1.0,Fig6 epsilon measured parameters,0.14566166939694752,0.08329922907707343,55.39182335746869,0.9818583649979259,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_90_lambda_4_r200,90.0,11.11111111111111,True,0.03602961759234255,-0.02633282272753154,,
0.1,0.11993746557225893,,6.143235304784839,0.1,0.19753086419753085,0.3,16.466773754537027,7.684749872874209,9.213666801914453,127.52529571056365,4,1.0,1.0,Fig6 epsilon measured parameters,0.15681961862801494,0.0886946939273191,inf,1.5358088261962097,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_90_lambda_6_r200,90.0,11.11111111111111,True,0.031242771644939826,-0.03688215305575601,,
0.1,0.11977058997556703,,6.233469237014538,0.1,0.19753086419753085,0.3,16.118245634428483,7.515289671112517,7.874086081593637,130.40082856246403,4,1.0,1.0,Fig6 epsilon measured parameters,0.16192439281653886,0.09127936624316443,inf,1.5583673092536345,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_100_lambda_6_r200,100.0,10.0,True,0.028491223732402593,-0.04215380284097184,,
0.1,0.13020892452866972,,6.217051277910773,0.1,0.19753086419753085,0.3,16.155433762932738,6.638001723363751,6.6613740022722014,147.63479143892016,4,1.0,1.0,Fig6 epsilon measured parameters,0.17080091474288375,0.09097561440426116,inf,1.5542628194776933,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_6_r200,120.0,8.333333333333334,True,0.03923331012440856,-0.04059199021421403,,
0.1,0.1393222899058657,,8.386156117643745,0.1,0.19753086419753085,0.3,16.25739101874273,6.301917905020935,7.026147022358262,155.50821428809846,4,1.0,1.0,Fig6 epsilon measured parameters,0.1936443776134696,0.0974889466191396,inf,2.0965390294109363,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_8_r200,120.0,8.333333333333334,True,0.04183334328672611,-0.05432208770760388,,
