lambda,runDir,txCount,maxSubmitToHashMs,maxHashToReceiptMs,maxTxTotalMs,maxSignMs,maxNonceMs,maxEstimateGasMs,slowTxOver1000ms,slowSubmitOver1000ms,meanBlockMs,configuredLambdaBlock
2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_2_r200,101,6.61080002784729,978.8011000156404,983.3639999628068,3.1126999855041504,0.0083999633789062,0.0,0,0,120.0,8.333333333333334
4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_4_r200,101,5.116000056266785,1135.8664000034332,1139.3812000751495,3.454599976539612,0.0090999603271484,0.0,2,0,120.0,8.333333333333334
6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_6_r200,101,9.34060001373291,617.940299987793,622.6701999902725,2.5450000762939453,0.0087000131607055,0.0,0,0,120.0,8.333333333333334
8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_8_r200,101,5.602200031280518,676.497200012207,681.7915999889374,3.65559995174408,0.0070999860763549,0.0,0,0,120.0,8.333333333333334
10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_10_r200,101,8.895299911499023,720.8574000597,727.6919000148773,3.32509994506836,0.009700059890747,0.0,0,0,120.0,8.333333333333334
12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_12_r200,101,9.013499975204468,610.8999000787735,613.8508999347687,2.6635000705718994,0.0141000747680664,0.0,0,0,120.0,8.333333333333334
14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_14_r200,101,5.441699981689453,687.9492999315262,692.6509000062943,2.6439000368118286,0.0094000101089477,0.0,0,0,120.0,8.333333333333334
16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_16_r200,101,10.2328999042511,659.5733000040054,664.0694000720978,3.8087000846862793,0.0067999362945556,0.0,0,0,120.0,8.333333333333334
18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_18_r200,101,5.913400053977966,537.6636999845505,542.9738999605179,2.736899971961975,0.0137999057769775,0.0,0,0,120.0,8.333333333333334
20.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_120_lambda_20_r200,101,5.04420006275177,579.7865999937057,585.3558999300003,2.270799994468689,0.0091000795364379,0.0,0,0,120.0,8.333333333333334
2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_100_lambda_2_r200,101,9.42110002040863,662.5109000205994,666.6949999332428,2.073099970817566,0.0087000131607055,0.0,0,0,100.0,10.0
4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_120_100_90_r200_lambda20_blockms_100_lambda_4_r200,101,6.081699967384338,466.35000002384186,469.1344999074936,2.238900065422058,0.0132999420166015,0.0,0,0,100.0,10.0
