epsilon,DPKI_sim,PKI_sim,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambda,runDir,meanBlockMs,configuredLambdaBlock,DPKI_in_bounds,DPKI_minus_lower,DPKI_minus_upper,PKI_abs_error,PKI_signed_error
0.1,0.11540618826791745,,1.9716584193818547,0.1,0.2,0.3,16.34857124166412,7.7664219737412274,9.309157226745247,126.18423301147466,4,1.0,1.0,Fig6 epsilon measured parameters,0.13121346124057076,0.07924821228320769,2.2420544301916765,0.4929146048454637,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_2_r10000,90.0,11.11111111111111,True,0.03615797598470975,-0.015807272972653316,,
0.1,0.11994951606297016,,2.0428144489225755,0.1,0.2,0.3,16.38190365498916,7.060711772308643,8.417952294170187,138.79620519895107,4,1.0,1.0,Fig6 epsilon measured parameters,0.13664379495560366,0.07922628643243149,2.3137510371962504,0.5107036122306439,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_100_lambda_2_r10000,100.0,10.0,True,0.040723229630538677,-0.0166942788926335,,
0.1,0.12601970704625173,,1.9731393511049844,0.1,0.2,0.3,16.441189316766035,6.261359960562784,7.288134428341223,156.5155183813958,4,1.0,1.0,Fig6 epsilon measured parameters,0.14319634067474338,0.07878188085003815,2.243495317589141,0.4932848377762461,2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_120_lambda_2_r10000,120.0,8.333333333333334,True,0.047237826196213584,-0.017176633628491644,,
0.1,0.11968109190640291,,3.9393457830202316,0.1,0.2,0.3,16.40046075293343,7.2858197935168905,8.55565766883106,134.50785605101422,4,1.0,1.0,Fig6 epsilon measured parameters,0.14638770947248314,0.08337825553795966,66.21759934555297,0.9848364457550579,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_100_lambda_4_r10000,100.0,10.0,True,0.03630283636844325,-0.026706617566080226,,
0.1,0.12888278734115713,,3.903306236641611,0.1,0.2,0.3,16.482909154890503,6.25262592026098,7.234420717830562,156.73414857978509,4,1.0,1.0,Fig6 epsilon measured parameters,0.15598674477538463,0.08282795706893753,41.63771453577912,0.9758265591604027,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_120_lambda_4_r10000,120.0,8.333333333333334,True,0.0460548302722196,-0.0271039574342275,,
0.1,0.11617842219124697,,4.071175817131633,0.1,0.2,0.3,16.340612642268272,7.865030314175778,9.249550104176683,124.60218980131162,4,1.0,1.0,Fig6 epsilon measured parameters,0.1429644562893839,0.08404156482849412,inf,1.0177939542829082,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_4_r10000,90.0,11.11111111111111,True,0.032136857362752846,-0.02678603409813693,,
0.1,0.11876605431317473,,5.993803509267766,0.1,0.2,0.3,16.308090103030985,7.830043505307671,9.20647763643168,125.15894698869775,4,1.0,1.0,Fig6 epsilon measured parameters,0.15635419633109543,0.08940585283162693,inf,1.4984508773169416,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_6_r10000,90.0,11.11111111111111,True,0.029360201481547804,-0.0375881420179207,,
0.1,0.124666634164144,,5.997543825077955,0.1,0.2,0.3,16.28459803112525,7.232449862842855,8.456596286610335,135.5004208234901,4,1.0,1.0,Fig6 epsilon measured parameters,0.16210807964744228,0.08957120507420879,inf,1.4993859562694887,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_100_lambda_6_r10000,100.0,10.0,True,0.03509542908993521,-0.03744144548329828,,
0.1,0.13280056981001587,,6.111349158364033,0.1,0.2,0.3,16.45953350470027,6.323538080546347,7.167230767911496,154.97653173226863,4,1.0,1.0,Fig6 epsilon measured parameters,0.17198159704826588,0.08876170296743521,inf,1.5278372895910082,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_120_lambda_6_r10000,120.0,8.333333333333334,True,0.044038866842580654,-0.03918102723825001,,
0.1,0.13989050257764044,,7.982548282904983,0.1,0.2,0.3,16.397159826678113,6.316508446392355,7.138346598971754,155.1490049157969,4,1.0,1.0,Fig6 epsilon measured parameters,0.18895694119055487,0.0951423272886088,inf,1.9956370707262459,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_120_lambda_8_r10000,120.0,8.333333333333334,True,0.04474817528903163,-0.04906643861291443,,
