runDir,lambda,meanBlockMs,configuredLambdaBlock
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_2_r10000,2.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_4_r10000,4.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_6_r10000,6.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_8_r10000,8.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_10_r10000,10.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_12_r10000,12.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_14_r10000,14.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_90_lambda_16_r10000,16.0,90.0,11.11111111111111
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_100_lambda_2_r10000,2.0,100.0,10.0
C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\stable_three_lambdap_lambda2_16_r10000_blockms_100_lambda_4_r10000,4.0,100.0,10.0
