epsilon,DPKI_sim,PKI_sim,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_in_bounds,DPKI_minus_lower,DPKI_minus_upper,PKI_abs_error,PKI_signed_error
0.0,0.07921544373295193,0.06269965979573036,3.0659736481797264,0.1,0.3,0.3,19.43949115375731,20.76409052927516,28.921595701178866,47.196866080809286,4,20.76006802577094,0.3252482608952282,Fig6 epsilon measured parameters,0.08941556438581816,0.06802677179014777,0.061597479932505556,0.044581172732764254,True,0.011188671942804165,-0.010200120652866226,0.0011021798632248059,0.0011021798632248059
0.05,0.0821742160291438,0.06910276816679214,2.9283828703566672,0.1,0.3,0.3,19.476619434031864,19.069017531048928,28.921595701178866,51.392264882253386,4,20.525051609196197,0.3300170395835256,Fig6 epsilon measured parameters,0.09345071416025523,0.06816415118982214,0.06849062910538732,0.0429096060383734,True,0.01401006483932167,-0.011276498131111423,0.0006121390614048233,0.0006121390614048233
0.1,0.08359570984344852,0.07641987995770949,3.021218992139492,0.1,0.3,0.3,19.50494220680213,19.38138460619389,28.921595701178866,50.56398291001419,4,20.792923506018422,0.31686843512822704,Fig6 epsilon measured parameters,0.09598718947763067,0.06876907053884192,0.07491206759974114,0.044156353677931,True,0.014826639304606606,-0.012391479634182148,0.0015078123579683467,0.0015078123579683467
0.15,0.08532867706198285,0.08235013910809773,2.9820687270068538,0.1,0.3,0.3,19.370760575021656,19.50474395355599,28.921595701178866,50.24418686723298,4,20.86740992186687,0.32723488153213864,Fig6 epsilon measured parameters,0.09901224413929924,0.06977280113740966,0.08046312167076003,0.04307140795221901,True,0.015555875924573193,-0.013683567077316383,0.0018870174373376986,0.0018870174373376986
0.2,0.08721199592004938,0.08895823463032583,3.0137839577984407,0.1,0.3,0.3,19.37786827207728,19.38090689697669,28.921595701178866,50.56522923356463,4,20.930727654617986,0.3185036862836512,Fig6 epsilon measured parameters,0.10218330375862308,0.07041378833884394,0.08719008793556585,0.04369935999937984,True,0.01679820758120544,-0.0149713078385737,0.0017681466947599839,0.0017681466947599839
0.25,0.08909090072109177,0.0954807044612674,2.910487230708703,0.1,0.3,0.3,19.340338704493,19.564852771346146,28.921595701178866,50.08982236939019,4,20.771376995409625,0.3251732301146842,Fig6 epsilon measured parameters,0.10443656222475295,0.07090179139901079,0.09388112987855209,0.04229974692135198,True,0.018189109322080982,-0.015345661503661179,0.001599574582715313,0.001599574582715313
0.3,0.0914148142310622,0.10227512188872565,2.9717713343724608,0.1,0.3,0.3,19.430935189854996,19.191305158192627,28.921595701178866,51.06479168154153,4,20.949949314359877,0.32245000698438536,Fig6 epsilon measured parameters,0.1080073998477935,0.07133353453532118,0.09971908652455384,0.042914382485201984,True,0.020081279695741014,-0.016592585616731312,0.002556035364171802,0.002556035364171802
0.35,0.09334252746841175,0.11051982827621663,2.923825011914272,0.1,0.3,0.3,19.451104138734788,19.1099813722858,28.921595701178866,51.282101269928106,4,20.514079573139984,0.3195320245343201,Fig6 epsilon measured parameters,0.11084255176345205,0.07174855389152575,0.10860591111447017,0.04322002335779224,True,0.021593973576886,-0.0175000242950403,0.0019139171617464645,0.0019139171617464645
0.4,0.09333402171346991,0.11677693938817224,2.9294170688372048,0.1,0.3,0.3,19.594567812530915,19.871340438323237,28.921595701178866,49.31725683235758,4,20.287240577566397,0.3267907802799159,Fig6 epsilon measured parameters,0.11172270675235338,0.07182923489438409,0.11609840422725891,0.04353592459079973,True,0.021504786819085825,-0.018388685038883468,0.0006785351609133322,0.0006785351609133322
0.45,0.09589141911708961,0.12397965834364434,2.816379055449872,0.1,0.3,0.3,19.470290053247574,19.544309066986404,28.921595701178866,50.14247352726239,4,20.429238735323423,0.32683893510793327,Fig6 epsilon measured parameters,0.11526204148434516,0.07261540300679872,0.12173666650056596,0.04156351133290267,True,0.023276016110290884,-0.01937062236725555,0.0022429918430783846,0.0022429918430783846
0.5,0.09974897370097001,0.1299523018868046,2.9566500057232004,0.1,0.3,0.3,19.184057455690812,18.931732344945036,28.921595701178866,51.76494058461955,4,20.811925569797047,0.32060867025774337,Fig6 epsilon measured parameters,0.12243133423175323,0.07516227407874793,0.12643786965495238,0.04304243749807115,True,0.024586699622222083,-0.02268236053078322,0.003514432231852216,0.003514432231852216
0.55,0.1015279003758353,0.1397911770162296,2.998545950915756,0.1,0.3,0.3,19.33107050035134,19.206934258806093,28.921595701178866,51.023239148678016,4,19.95225779444516,0.3337423878382108,Fig6 epsilon measured parameters,0.12469566739552941,0.07544939327603489,0.13809797045041533,0.045071999110596665,True,0.026078507099800405,-0.023167767019694113,0.0016932065658142592,0.0016932065658142592
0.6,0.10254935660709022,0.14758354484324498,3.036132324199065,0.1,0.3,0.3,19.354665975018015,19.269281907002135,28.921595701178866,50.858148462911025,4,19.83816236563619,0.32899018170270267,Fig6 epsilon measured parameters,0.12818469737624205,0.07632779723313349,0.14603750827533118,0.04606504294609271,True,0.026221559373956732,-0.025635340769151832,0.0015460365679138,0.0015460365679138
