epsilon,model,E_T,completed,onChainCount,offChainCount,crossDomainCount,managementCount,actualOnChainRatio,actualOffChainRatio,actualCrossDomainRatio,actualManagementRatio,arrivalSpanSec,targetLambdaOffchain,targetLambdaOnchain,observedLambdaOffchain,observedLambdaOnchain,avgLatencyMs,avgLatencyRawMs,avgQueueMs,avgServiceMs,avgServiceRawMs,avgOffchainProofMs,avgPkiChainVerifyMs,PKI_sim_raw,pkiNetworkCompensationSec,pkiNetworkCompensationMs,pkiAuthNetworkSetupMs,pkiOcspNetworkRttMs,pkiAuthCount,pkiOcspCount,chainTxCount,chainBlockCount,avgTxPerChainBlock,maxTxPerChainBlock,gasUsed
0,DPKI,0.07965298933285957,2000,740,1260,0,200,0.37,0.63,0,0.1,652.321327414997,1.8900000000000001,1.1099999999999999,1.9315633983532277,1.1344102498264987,79.65298933285956,79.65298933285956,0.17978228259568277,79.47320705026388,79.47320705026388,51.835358333918784,0,,0,0,0,0,0,0,740,740,1,1,134713340
0,PKI,0.17640602813439848,2000,0,0,0,200,0,0,0,0.1,655.3444705712642,0,0,0,0,176.4060281343985,173.80945833039848,12.673793630769556,163.73223450362897,161.13566469962896,0,163.73223450362897,0.1738094583303985,0.002596569804,2.5965698039999996,1.48386291,1.40121465,1800,1800,0,0,0,0,0
0.05,DPKI,0.08262587227962065,2000,803,1197,90,200,0.4015,0.5985,0.045,0.1,682.9708028432794,1.7954999999999997,1.2045000000000001,1.7526371479084653,1.1757457224482017,82.62587227962065,82.62587227962065,0.06797957990218219,82.55789269971848,82.55789269971848,51.74244979066259,0,,0,0,0,0,0,0,803,803,1,1,148646849
0.05,PKI,0.206326957162376,2000,0,0,90,200,0,0,0.045,0.1,680.0869245450336,0,0,0,0,206.326957162376,203.541223380626,13.450393230737006,192.876563931639,190.090830149889,0,192.876563931639,0.203541223380626,0.00278573378175,2.7857337817500003,1.48386291,1.40121465,1800,2070,0,0,0,0,0
0.1,DPKI,0.08402312214361801,2000,866,1134,180,200,0.433,0.567,0.09,0.1,661.984452369568,1.701,1.299,1.7130311685430921,1.3081878235964002,84.02312214361801,84.02312214361801,0.135740493542693,83.88738165007531,83.88738165007531,51.65914021206385,0,,0,0,0,0,0,0,866,866,1,1,162585530
0.1,PKI,0.23319646258492416,2000,0,0,180,200,0,0,0.09,0.1,683.6244215047499,0,0,0,0,233.19646258492418,230.22156482542417,14.1371621751722,219.05930040975198,216.08440265025197,0,219.05930040975198,0.23022156482542416,0.0029748977595,2.9748977595,1.48386291,1.40121465,1800,2340,0,0,0,0,0
0.15,DPKI,0.08575885861178527,2000,929,1071,270,200,0.4645,0.5355,0.135,0.1,670.6753542891782,1.6065,1.3935,1.59689780331217,1.3851709236946832,85.75885861178527,85.75885861178527,0.1688810616661085,85.58997755011916,85.58997755011916,52.0154380954169,0,,0,0,0,0,0,0,929,929,1,1,176522531
0.15,PKI,0.26048322107084504,2000,0,0,270,200,0,0,0.135,0.1,669.7107445597777,0,0,0,0,260.48322107084505,257.31915933359505,14.928655833878565,245.5545652369665,242.39050349971652,0,245.5545652369665,0.25731915933359506,0.00316406173725,3.16406173725,1.48386291,1.40121465,1800,2610,0,0,0,0,0
0.2,DPKI,0.08764574256997036,2000,992,1008,360,200,0.496,0.504,0.18,0.1,663.6175744531448,1.512,1.4880000000000002,1.5189471147304139,1.4948368430680266,87.64574256997037,87.64574256997037,0.38912156997846886,87.2566209999919,87.2566209999919,52.00525367050062,0,,0,0,0,0,0,0,992,992,1,1,190458488
0.2,PKI,0.27619074373478186,2000,0,0,360,200,0,0,0.18,0.1,668.2613128891727,0,0,0,0,276.19074373478185,272.83751801978184,13.579772969947594,262.61097076483424,259.2577450498342,0,262.61097076483424,0.27283751801978184,0.0033532257150000002,3.353225715,1.48386291,1.40121465,1800,2880,0,0,0,0,0
0.25,DPKI,0.0895229215204604,2000,1055,945,450,200,0.5275,0.4725,0.225,0.1,687.1701682446483,1.4175,1.5825000000000002,1.3752052165098623,1.535282014198841,89.5229215204604,89.5229215204604,0.6803107706047659,88.84261074985564,88.84261074985564,52.09355026439384,0,,0,0,0,0,0,0,1055,1055,1,1,204395297
0.25,PKI,0.31456941545395173,2000,0,0,450,200,0,0,0.225,0.1,684.2037980110096,0,0,0,0,314.56941545395176,311.02702576120174,14.373822711169511,300.19559274278225,296.65320305003223,0,300.19559274278225,0.3110270257612017,0.00354238969275,3.54238969275,1.48386291,1.40121465,1800,3150,0,0,0,0,0
0.3,DPKI,0.09183845568167598,2000,1118,882,540,200,0.559,0.441,0.27,0.1,672.9992906477554,1.323,1.6769999999999998,1.3105511584582554,1.6612201759142058,91.83845568167598,91.83845568167598,0.794376681918224,91.04407899975777,91.04407899975777,51.84639058932831,0,,0,0,0,0,0,0,1118,1118,1,1,218329634
0.3,PKI,0.3341929578042691,2000,0,0,540,200,0,0,0.27,0.1,682.9465594020477,0,0,0,0,334.1929578042691,330.4614041337691,17.346211033346474,316.8467467709226,313.11519310042263,0,316.8467467709226,0.3304614041337691,0.0037315536705,3.7315536705,1.48386291,1.40121465,1800,3420,0,0,0,0,0
0.35,DPKI,0.09377355781940984,2000,1181,819,630,200,0.5905,0.4095,0.315,0.1,684.0354644516054,1.2285000000000001,1.7715,1.1973063423788946,1.7265186695353778,93.77355781940985,93.77355781940985,0.9321226691143443,92.8414351502955,92.8414351502955,51.799600122030256,0,,0,0,0,0,0,0,1181,1181,1,1,232266503
0.35,PKI,0.3711215490272708,2000,0,0,630,200,0,0,0.315,0.1,680.6294813568308,0,0,0,0,371.12154902727076,367.20083137902077,17.1324047788179,353.98914424845293,350.06842660020294,0,353.98914424845293,0.36720083137902076,0.00392071764825,3.92071764825,1.48386291,1.40121465,1800,3690,0,0,0,0,0
0.4,DPKI,0.09376523696373855,2000,1244,756,720,200,0.622,0.378,0.36,0.1,682.7296875121556,1.134,1.8660000000000003,1.1073196520204636,1.8220974168167419,93.76523696373854,93.76523696373854,0.8745891635910048,92.89064780014753,92.89064780014753,51.42162724879999,0,,0,0,0,0,0,0,1244,1244,1,1,246202256
0.4,PKI,0.3873678358846623,2000,0,0,720,200,0,0,0.36,0.1,653.2548461842001,0,0,0,0,387.36783588466227,383.25795425866227,15.32479425909786,372.0430416255643,367.9331599995643,0,372.0430416255643,0.38325795425866227,0.004109881626,4.109881626,1.48386291,1.40121465,1800,3960,0,0,0,0,0
0.45,DPKI,0.09632695196677392,2000,1307,693,810,200,0.6535,0.3465,0.405,0.1,710.1316834926298,1.0395,1.9605,0.9758753427133806,1.8405037127364912,96.32695196677392,96.32695196677392,1.3428300168330025,94.98412194994091,94.98412194994091,51.74752885984824,0,,0,0,0,0,0,0,1307,1307,1,1,260140733
0.45,PKI,0.4214423205494887,2000,0,0,810,200,0,0,0.405,0.1,651.653480243681,0,0,0,0,421.4423205494887,417.1432749457387,19.79202994598748,401.65029060350145,397.35124499975143,0,401.65029060350145,0.4171432749457387,0.00429904560375,4.29904560375,1.48386291,1.40121465,1800,4230,0,0,0,0,0
0.5,DPKI,0.1001771978494819,2000,1370,630,900,200,0.685,0.315,0.45,0.1,676.4412413131726,0.9450000000000001,2.055,0.931344751802808,2.0253052539203917,100.1771978494819,100.1771978494819,1.9909289992596788,98.18626885022223,98.18626885022223,52.5054196823684,0,,0,0,0,0,0,0,1370,1370,1,1,274074206
0.5,PKI,0.44383697131104255,2000,0,0,900,200,0,0,0.45,0.1,672.6467400447559,0,0,0,0,443.83697131104253,439.34876172954256,17.59098297922726,426.2459883318153,421.7577787503153,0,426.2459883318153,0.43934876172954257,0.004488209581500001,4.4882095815000005,1.48386291,1.40121465,1800,4500,0,0,0,0,0
0.55,DPKI,0.1019587029755186,2000,1433,567,990,200,0.7165,0.2835,0.495,0.1,666.98994537309,0.8504999999999999,2.1495,0.8500877770846167,2.148458173831139,101.95870297551859,101.95870297551859,2.474984025485414,99.4837189500332,99.4837189500332,52.11936948864969,0,,0,0,0,0,0,0,1433,1433,1,1,288011639
0.55,PKI,0.4897334905964303,2000,0,0,990,200,0,0,0.495,0.1,653.3736615551207,0,0,0,0,489.7334905964303,485.0561170371803,17.640456287268105,472.09303430916225,467.41566074991226,0,472.09303430916225,0.48505611703718027,0.004677373559249999,4.677373559249999,1.48386291,1.40121465,1800,4770,0,0,0,0,0
0.6,DPKI,0.10296921055617524,2000,1496,504,1080,200,0.748,0.252,0.54,0.1,658.7328174267244,0.756,2.2439999999999998,0.7651053456981647,2.2710269785009016,102.96921055617524,102.96921055617524,2.7916539062519194,100.17755664992332,100.17755664992332,52.04803313504136,0,,0,0,0,0,0,0,1496,1496,1,1,301947824
0.6,PKI,0.5128001476082228,2000,0,0,1080,200,0,0,0.54,0.1,659.9471007466522,0,0,0,0,512.8001476082228,507.9336100712228,16.6615167211552,496.13863088706773,491.27209335006773,0,496.13863088706773,0.5079336100712228,0.004866537537,4.866537537,1.48386291,1.40121465,1800,5040,0,0,0,0,0
