model,kind,stage,count,meanMs,medianMs,minMs,maxMs
DPKI,cross-domain,dpkiPowOnchainAuthenticateTx,48,20.600814630587895,18.05910015106201,5.705599784851074,49.003000259399414
DPKI,intra-off-chain,dpkiAuthSignature,102,2.294366672927258,2.01265025138855,1.7588000297546387,3.826399803161621
DPKI,intra-off-chain,dpkiChainRootRead,102,6.62621761303322,5.003000020980835,1.1073999404907227,27.46339988708496
DPKI,intra-off-chain,dpkiMptCacheAndProof,102,2.3771696417939427,0.10004997253417969,0.0025997161865234375,23.818899631500244
DPKI,intra-off-chain,dpkiMptVerify,102,1.2765617510851692,0.9709999561309814,0.32579994201660156,5.684100151062012
DPKI,intra-off-chain,dpkiOpenSslVerifyCert,102,12.244467679192038,11.933000087738037,9.163000106811523,19.745399951934814
DPKI,intra-off-chain,dpkiRootMismatchRetry,7,1,1,1,1
DPKI,intra-off-chain,dpkiWaitManagementOnRootMismatch,7,3.018871375492641,2.821700096130371,1.3477997779846191,6.58929967880249
DPKI,intra-on-chain,dpkiPowOnchainAuthenticateTx,12,25.025591731071472,22.65750002861023,6.2330002784729,56.32329988479614
DPKI,management,dpkiManagementBuildMpt,18,11.371477762858072,10.486999988555908,4.707099914550781,18.941400051116943
DPKI,management,dpkiManagementIssueCertificate,18,97.72489992777507,92.71119999885559,68.22829961776733,178.84880018234253
DPKI,management,dpkiManagementOpenSslIssueCsr,18,23.837300035688614,23.5139000415802,17.887200355529785,30.37809991836548
DPKI,management,dpkiManagementOpenSslIssueExtractPubkey,18,10.732261127895779,10.105600118637085,9.019700050354004,15.809499740600586
DPKI,management,dpkiManagementOpenSslIssueKeygen,18,46.59674994150797,39.12575006484985,24.311399936676025,130.82209968566895
DPKI,management,dpkiManagementOpenSslIssueSignCert,18,14.621194495095146,14.176650047302246,12.818600177764893,18.9677996635437
DPKI,management,dpkiPowManagementPutCertAndRootTx,18,9.699833340115017,8.740149736404419,6.752099990844727,21.777999877929688
PKI,cross-domain,pkiLeafOcspResponse,48,14.249620834986368,13.7086501121521,12.776700019836426,18.158199787139893
PKI,cross-domain,pkiLeafOcspVerify,48,10.82770832379659,10.607049942016602,9.420199871063232,16.024100303649902
PKI,cross-domain,pkiOpenSslAssertionSign,48,17.836237490177155,17.160449981689453,15.68690013885498,27.41349983215332
PKI,cross-domain,pkiOpenSslAssertionVerify,48,9.769060403108597,9.435349941253662,8.797499656677246,15.043599605560303
PKI,cross-domain,pkiOpenSslVerifyLeaf,48,10.445916682481766,9.383700132369995,8.643500328063965,18.640300273895264
PKI,cross-domain,pkiOpenSslVerifyRootCA,48,9.182533373435339,8.852150201797485,8.315700054168701,11.619800090789795
PKI,cross-domain,pkiOpenSslVerifySourceCA,48,9.111297885576883,8.850150108337402,8.422199726104736,12.13070011138916
PKI,cross-domain,pkiOpenSslVerifyTargetCA,48,8.887974997361502,8.627949953079224,8.239799976348877,11.623400211334229
PKI,cross-domain,pkiSourceCAOcspResponse,48,13.940266698598862,13.15625,12.21780014038086,22.483500003814697
PKI,cross-domain,pkiSourceCAOcspVerify,48,10.656387517849604,10.640699863433838,9.48930025100708,12.035500049591064
PKI,cross-domain,pkiTargetCAOcspResponse,48,13.532958308855692,13.270249843597412,12.129199981689453,16.494199752807617
PKI,cross-domain,pkiTargetCAOcspVerify,48,10.888310392697653,10.6528000831604,9.350899696350098,16.735000133514404
PKI,intra-pki,pkiLeafOcspResponse,114,14.745618410277785,14.108099699020386,12.529300212860107,24.514999866485596
PKI,intra-pki,pkiLeafOcspVerify,114,10.984015791039718,11.00130009651184,9.35699987411499,14.895800113677979
PKI,intra-pki,pkiOpenSslAssertionSign,114,18.523514885651437,17.46244978904724,15.410500049591064,73.00609970092773
PKI,intra-pki,pkiOpenSslAssertionVerify,114,9.935497371773971,9.79699993133545,8.644100189208984,12.372399806976318
PKI,intra-pki,pkiOpenSslVerifyLeaf,114,11.79254206439905,10.436899900436401,8.620999813079834,23.420499801635742
PKI,management,pkiLeafOcspResponse,18,18.91568334897359,18.289299964904785,16.416500091552734,24.05079984664917
PKI,management,pkiLeafOcspVerify,18,11.16444444656372,10.911249876022339,9.707000255584717,15.084100246429443
PKI,management,pkiOpenSslIssueCsr,18,22.140550083584255,20.048550128936768,17.432899951934814,33.28360033035278
PKI,management,pkiOpenSslIssueExtractPubkey,18,11.087761084238688,11.03564977645874,9.286399841308594,15.28939962387085
PKI,management,pkiOpenSslIssueKeygen,18,45.65176667107476,42.75339984893799,17.59600019454956,85.28039979934692
PKI,management,pkiOpenSslIssueSignCert,18,14.811677826775444,14.537750244140625,12.63100004196167,18.380899906158447
PKI,management,pkiOpenSslVerifyLeaf,18,10.979377826054892,10.553999662399292,9.430200099945068,16.762500286102295
