epsilon,model,requestIndex,kind,onChain,crossDomain,arrivalOffsetMs,arrivalWallMs,finishWallMs,latencyMs,queueMs,serviceMs,workerId,chainReads,verifiedCertificateSteps,proofNodes,stageTimingsJson,chainTxCount,chainBlockNumbers,chainTxHashes
1,DPKI,0,cross-domain,true,true,0,10328.244100034237,10484.318000078201,156.0739000439644,0,156.0739000439644,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":75.38160002231598,""dpkiOnchainCertTransferHttp"":1.6583999991416931,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":20.32260000705719,""dpkiOnchainMptProofSignerCertVerify"":10.884100019931793,""dpkiOnchainMptProofResponseVerify"":0.7597000002861023,""dpkiOnchainRootRead"":6.584600031375885,""dpkiOnchainMptVerify"":0.9532999992370605,""dpkiOnchainOpenSslVerifyCert"":11.288600027561188,""dpkiOnchainAssertionSign"":12.444900035858154,""dpkiOnchainAssertionVerify"":9.241599977016449,""dpkiOnchainAuthSignature"":4.871399998664856}",1,6668912,0xb1a17ee2106610eda24ddbb730d86a35282b3d3ac3706b51fcae79d2d52f96aa
1,DPKI,1,cross-domain,true,true,2676.8629884798697,13005.107088514107,13115.022688515919,109.91560000181198,0,109.91560000181198,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":56.397100031375885,""dpkiOnchainCertTransferHttp"":0.1460999846458435,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":6.617399990558624,""dpkiOnchainMptProofSignerCertVerify"":9.4932000041008,""dpkiOnchainMptProofResponseVerify"":0.4757999777793884,""dpkiOnchainRootRead"":2.288800001144409,""dpkiOnchainMptVerify"":0.5999000072479248,""dpkiOnchainOpenSslVerifyCert"":9.910000026226044,""dpkiOnchainAssertionSign"":11.639900028705597,""dpkiOnchainAssertionVerify"":8.892000019550323,""dpkiOnchainAuthSignature"":3.0261000394821167}",1,6668915,0xac47721579dee26be1ede004a09d30213c0523324a14e1a583a3e64a6103bffa
1,DPKI,2,cross-domain,true,true,4676.764177240624,15005.008277274861,15181.859977282777,176.8517000079155,0,176.8517000079155,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":115.65909999608994,""dpkiOnchainCertTransferHttp"":5.95550000667572,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":6.997699975967407,""dpkiOnchainMptProofSignerCertVerify"":9.853500008583069,""dpkiOnchainMptProofResponseVerify"":0.567799985408783,""dpkiOnchainRootRead"":2.1937000155448914,""dpkiOnchainMptVerify"":0.5493999719619751,""dpkiOnchainOpenSslVerifyCert"":10.274499952793121,""dpkiOnchainAssertionSign"":12.242500007152557,""dpkiOnchainAssertionVerify"":9.39599996805191,""dpkiOnchainAuthSignature"":2.637499988079071}",1,6668917,0x7f7b69fa8fe4fced9b9adaac8b28d2164b8297c3fb3877576a32c90b658b848b
1,DPKI,3,cross-domain,true,true,5806.108585074404,16134.35268510864,16352.232685103872,217.87999999523163,0,217.87999999523163,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":139.93700003623962,""dpkiOnchainCertTransferHttp"":1.4089999794960022,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":29.2538999915123,""dpkiOnchainMptProofSignerCertVerify"":9.733299970626831,""dpkiOnchainMptProofResponseVerify"":0.4973999857902527,""dpkiOnchainRootRead"":2.1305999755859375,""dpkiOnchainMptVerify"":0.5537000298500061,""dpkiOnchainOpenSslVerifyCert"":9.920899987220764,""dpkiOnchainAssertionSign"":11.631999969482422,""dpkiOnchainAssertionVerify"":9.174499988555908,""dpkiOnchainAuthSignature"":3.1330000162124634}",1,6668920,0x59862826a4a8698a350c1a92d8dd9a009b02a01d6a57859e7f440fe2f5550f5d
1,DPKI,4,cross-domain,true,true,7946.418238365941,18274.66233840018,18416.5751384142,141.912800014019,0,141.912800014019,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":91.34060001373291,""dpkiOnchainCertTransferHttp"":0.620199978351593,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":3.316699981689453,""dpkiOnchainMptProofSignerCertVerify"":9.65880000591278,""dpkiOnchainMptProofResponseVerify"":0.4583999514579773,""dpkiOnchainRootRead"":1.9039000272750854,""dpkiOnchainMptVerify"":0.5105999708175659,""dpkiOnchainOpenSslVerifyCert"":10.043200016021729,""dpkiOnchainAssertionSign"":12.031899988651276,""dpkiOnchainAssertionVerify"":8.944999992847443,""dpkiOnchainAuthSignature"":2.5467000007629395}",1,6668924,0x6aabf8d44059afc53d3c6e2f06933b1337391906298375d0a3b89d86c2f1711c
1,DPKI,5,cross-domain,true,true,9220.91119563945,19549.155295673685,19661.000695709066,111.84540003538132,0,111.84540003538132,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":57.41930001974106,""dpkiOnchainCertTransferHttp"":1.1720000505447388,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":6.4962000250816345,""dpkiOnchainMptProofSignerCertVerify"":9.901600003242493,""dpkiOnchainMptProofResponseVerify"":0.43720000982284546,""dpkiOnchainRootRead"":2.4871999621391296,""dpkiOnchainMptVerify"":0.5205000042915344,""dpkiOnchainOpenSslVerifyCert"":9.719700038433075,""dpkiOnchainAssertionSign"":11.58129996061325,""dpkiOnchainAssertionVerify"":8.857400000095367,""dpkiOnchainAuthSignature"":2.5579000115394592}",1,6668926,0x3905f5b8dc7b9bf9615adfad9522b1faae1883368be2e10b3bfe18d8c651c2f7
1,DPKI,6,cross-domain,true,true,11322.902224598849,21651.146324633086,21774.780924616778,123.63459998369217,0,123.63459998369217,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":68.88740003108978,""dpkiOnchainCertTransferHttp"":1.2245000004768372,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":2.4269999861717224,""dpkiOnchainMptProofSignerCertVerify"":9.72599995136261,""dpkiOnchainMptProofResponseVerify"":0.4871000051498413,""dpkiOnchainRootRead"":5.154300034046173,""dpkiOnchainMptVerify"":0.538100004196167,""dpkiOnchainOpenSslVerifyCert"":10.580699980258942,""dpkiOnchainAssertionSign"":12.17170000076294,""dpkiOnchainAssertionVerify"":9.199599981307983,""dpkiOnchainAuthSignature"":2.763599991798401}",1,6668929,0xd0af81f985605fc8b27475f002d1366384b6f174e0b9e78c20c10eda575c8a0e
1,DPKI,7,cross-domain,true,true,11620.955462491129,21949.199562525366,22115.00896248779,165.80939996242523,0,165.80939996242523,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":84.67140001058578,""dpkiOnchainCertTransferHttp"":0.7351999878883362,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":31.995499968528748,""dpkiOnchainMptProofSignerCertVerify"":11.217600047588348,""dpkiOnchainMptProofResponseVerify"":0.4765999913215637,""dpkiOnchainRootRead"":2.576799988746643,""dpkiOnchainMptVerify"":0.5478000044822693,""dpkiOnchainOpenSslVerifyCert"":9.59309995174408,""dpkiOnchainAssertionSign"":12.023999989032745,""dpkiOnchainAssertionVerify"":8.862800002098083,""dpkiOnchainAuthSignature"":2.6722999811172485}",1,6668931,0x8b76574e47f2cc6daf7562271c108dad0f3cf2ddaf12da90065b952e6bac9199
1,DPKI,8,cross-domain,true,true,18890.30974484951,29218.553844883747,29342.943544879265,124.38969999551773,0,124.38969999551773,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":72.91759997606277,""dpkiOnchainCertTransferHttp"":0.8693000078201294,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":4.107000052928925,""dpkiOnchainMptProofSignerCertVerify"":9.654199957847595,""dpkiOnchainMptProofResponseVerify"":0.5338000059127808,""dpkiOnchainRootRead"":2.008899986743927,""dpkiOnchainMptVerify"":0.5471000075340271,""dpkiOnchainOpenSslVerifyCert"":9.519500017166138,""dpkiOnchainAssertionSign"":12.252300024032593,""dpkiOnchainAssertionVerify"":8.948599994182587,""dpkiOnchainAuthSignature"":2.3664000034332275}",1,6668934,0xbc222a2aaa44f83a50219b43766c159ddf407af19578c49305676f02c63db99f
1,DPKI,9,cross-domain,true,true,23254.10579755893,33582.349897593165,33753.865397602225,171.5155000090599,0,171.5155000090599,-1,1,1,65,"{""dpkiOnchainAuthenticateTx"":103.16649997234344,""dpkiOnchainCertTransferHttp"":0.3414999842643738,""dpkiOnchainRelayHttp"":0,""dpkiCrossRelayHttp"":0,""dpkiOnchainMptProofHttpQuery"":18.809300005435944,""dpkiOnchainMptProofSignerCertVerify"":10.373300015926361,""dpkiOnchainMptProofResponseVerify"":0.47919994592666626,""dpkiOnchainRootRead"":4.011099994182587,""dpkiOnchainMptVerify"":0.539900004863739,""dpkiOnchainOpenSslVerifyCert"":9.750999987125397,""dpkiOnchainAssertionSign"":11.960700035095215,""dpkiOnchainAssertionVerify"":9.254100024700165,""dpkiOnchainAuthSignature"":2.345300018787384}",1,6668937,0xca831bae6e50e52d4f7dd7bbc4db39c85d9231dccd4cb18ae5a7777970fea589
