p,source,model,E_T_total
0.1,Theory,PKI FCFS,0.20494074492099323
0.1,Theory,DPKI Upper,0.17642820555591449
0.1,Theory,DPKI Lower,0.16659201126525078
0.10303030303030304,Theory,PKI FCFS,0.20597859238428634
0.10303030303030304,Theory,DPKI Upper,0.1779154291657845
0.10303030303030304,Theory,DPKI Lower,0.16794711224630848
0.10606060606060606,Theory,PKI FCFS,0.20701669640603224
0.10606060606060606,Theory,DPKI Upper,0.17941198425504123
0.10606060606060606,Theory,DPKI Lower,0.16931063712470018
0.1090909090909091,Theory,PKI FCFS,0.20805505735530397
0.1090909090909091,Theory,DPKI Upper,0.18091794497718644
0.1090909090909091,Theory,DPKI Lower,0.1706826553264847
0.11212121212121212,Theory,PKI FCFS,0.20909367560188272
0.11212121212121212,Theory,DPKI Upper,0.18243338630289863
0.11212121212121212,Theory,DPKI Lower,0.17206323704280302
0.11515151515151516,Theory,PKI FCFS,0.21013255151625973
0.11515151515151516,Theory,DPKI Upper,0.18395838403131987
0.11515151515151516,Theory,DPKI Lower,0.17345245324044578
0.1181818181818182,Theory,PKI FCFS,0.21117168546963774
0.1181818181818182,Theory,DPKI Upper,0.18549301480153074
0.1181818181818182,Theory,DPKI Lower,0.17485037567259637
0.12121212121212122,Theory,PKI FCFS,0.21221107783393303
0.12121212121212122,Theory,DPKI Upper,0.18703735610421607
0.12121212121212122,Theory,DPKI Lower,0.1762570768897531
0.12424242424242425,Theory,PKI FCFS,0.21325072898177683
0.12424242424242425,Theory,DPKI Upper,0.18859148629352632
0.12424242424242425,Theory,DPKI Lower,0.17767263025083432
0.1272727272727273,Theory,PKI FCFS,0.21429063928651726
0.1272727272727273,Theory,DPKI Upper,0.19015548459913656
0.1272727272727273,Theory,DPKI Lower,0.17909710993446892
0.1303030303030303,Theory,PKI FCFS,0.21533080912222088
0.1303030303030303,Theory,DPKI Upper,0.19172943113850968
0.1303030303030303,Theory,DPKI Lower,0.1805305909504773
0.13333333333333336,Theory,PKI FCFS,0.2163712388636746
0.13333333333333336,Theory,DPKI Upper,0.19331340692936494
0.13333333333333336,Theory,DPKI Lower,0.18197314915154555
0.13636363636363638,Theory,PKI FCFS,0.2174119288863871
0.13636363636363638,Theory,DPKI Upper,0.19490749390235795
0.13636363636363638,Theory,DPKI Lower,0.18342486124509655
0.1393939393939394,Theory,PKI FCFS,0.21845287956659104
0.1393939393939394,Theory,DPKI Upper,0.1965117749139756
0.1393939393939394,Theory,DPKI Lower,0.18488580480536337
0.14242424242424245,Theory,PKI FCFS,0.2194940912812444
0.14242424242424245,Theory,DPKI Upper,0.1981263337596498
0.14242424242424245,Theory,DPKI Lower,0.1863560582856666
0.14545454545454548,Theory,PKI FCFS,0.22053556440803238
0.14545454545454548,Theory,DPKI Upper,0.1997512551870952
0.14545454545454548,Theory,DPKI Lower,0.1878357010309018
0.1484848484848485,Theory,PKI FCFS,0.22157729932536926
