epsilon,model,E_T,completed,onChainCount,offChainCount,crossDomainCount,managementCount,actualOnChainRatio,actualOffChainRatio,actualCrossDomainRatio,actualManagementRatio,arrivalSpanSec,targetLambdaOffchain,targetLambdaOnchain,observedLambdaOffchain,observedLambdaOnchain,avgLatencyMs,avgQueueMs,avgServiceMs,avgOffchainProofMs,avgPkiChainVerifyMs,chainTxCount,chainBlockCount,avgTxPerChainBlock,maxTxPerChainBlock,gasUsed
0.1,DPKI,0.605525758011341,200,54,146,18,20,0.27,0.73,0.09,0.1,267.5436676001549,0.5832,0.21680000000000002,0.5457053097522667,0.2018362104563178,605.525758011341,68.56678400754929,536.9589740037918,180.5289267089269,0,74,74,1,1,11712512
0.1,PKI,0.0033035149788856505,200,0,0,18,20,0,0,0.09,0.1,284.07910760021207,0,0,0,0,3.3035149788856506,0.02734898805618286,3.2761659908294676,0,3.2761659908294676,0,0,0,0,0
0.15,DPKI,0.6767175964832306,200,62,138,27,20,0.31,0.69,0.135,0.1,228.37407209968566,0.5508000000000001,0.2492,0.6042717491141585,0.2714844090223031,676.7175964832306,85.74601000070572,590.9715864825249,206.19402027130127,0,82,82,1,1,13440680
0.15,PKI,0.003950912013053894,200,0,0,27,20,0,0,0.135,0.1,254.23731269979476,0,0,0,0,3.950912013053894,0.028836026191711425,3.9220759868621826,0,3.9220759868621826,0,0,0,0,0
0.2,DPKI,0.6981750924754143,200,70,130,36,20,0.35,0.65,0.18,0.1,250.11782019996642,0.5184000000000001,0.2816,0.519755049424573,0.27986810353630853,698.1750924754143,95.47630648374557,602.6987859916687,156.68410001534681,0,90,90,1,1,15168980
0.2,PKI,0.003830049500465393,200,0,0,36,20,0,0,0.18,0.1,273.83510809993743,0,0,0,0,3.830049500465393,0.026352484226226807,3.803697016239166,0,3.803697016239166,0,0,0,0,0
0.25,DPKI,0.9599858679914475,200,79,121,45,20,0.395,0.605,0.225,0.1,241.82332270002365,0.48600000000000004,0.31400000000000006,0.500365302440649,0.3266847842381097,959.9858679914474,321.07666200637817,638.9092059850693,155.3445156940744,0,99,99,1,1,17113238
0.25,PKI,0.006183757004737854,200,0,0,45,20,0,0,0.225,0.1,261.2634857997894,0,0,0,0,6.183757004737854,0.0381325101852417,6.145624494552612,0,6.145624494552612,0,0,0,0,0
0.3,DPKI,1.0142161215186118,200,87,113,54,20,0.435,0.565,0.27,0.1,256.1183446998596,0.4536,0.34640000000000004,0.441202289248053,0.33968671827062485,1014.2161215186119,213.1004895043373,801.1156320142746,308.87170618614266,0,107,107,1,1,18841478
0.3,PKI,0.008594838500022888,200,0,0,54,20,0,0,0.27,0.1,245.40540219974517,0,0,0,0,8.594838500022888,0.03838402509689331,8.556454474925994,0,8.556454474925994,0,0,0,0,0
0.35,DPKI,1.0378371275138853,200,95,105,63,20,0.475,0.525,0.315,0.1,244.051304500103,0.4212000000000001,0.3788,0.430237405266382,0.3892624142886313,1037.8371275138854,267.44932900190355,770.3877985119819,216.90454287301927,0,115,115,1,1,20569634
0.35,PKI,0.0104230499958992,200,0,0,63,20,0,0,0.315,0.1,258.2012862000465,0,0,0,0,10.4230499958992,0.04479398727416992,10.37825600862503,0,10.37825600862503,0,0,0,0,0
0.4,DPKI,1.5097344670033457,200,103,97,72,20,0.515,0.485,0.36,0.1,216.63320550012588,0.38880000000000003,0.4112000000000001,0.44776145824950014,0.475458043295861,1509.7344670033456,615.1036644983292,894.6308025050163,301.8085783633989,0,123,123,1,1,22297598
0.4,PKI,0.010542686500549316,200,0,0,72,20,0,0,0.36,0.1,267.8785383000374,0,0,0,0,10.542686500549316,0.051075501441955565,10.49161099910736,0,10.49161099910736,0,0,0,0,0
0.45,DPKI,1.4422322439789772,200,111,89,81,20,0.555,0.445,0.405,0.1,269.4421902999878,0.35640000000000005,0.4436,0.3303120417070186,0.41196220931998945,1442.2322439789773,518.0164410090447,924.2158029699326,302.55639098199566,0,131,131,1,1,24025934
0.45,PKI,0.0069111565113067625,200,0,0,81,20,0,0,0.405,0.1,234.32660930013657,0,0,0,0,6.911156511306762,0.025214002132415772,6.885942509174347,0,6.885942509174347,0,0,0,0,0
0.5,DPKI,1.2603978495049477,200,119,81,90,20,0.595,0.405,0.45,0.1,274.8039265999794,0.32400000000000007,0.4760000000000001,0.2947556135830196,0.433036024893572,1260.3978495049478,386.5387159919739,873.8591335129738,226.85752099826013,0,139,139,1,1,25754042
0.5,PKI,0.007586889002323151,200,0,0,90,20,0,0,0.45,0.1,241.87366100025176,0,0,0,0,7.586889002323151,0.025819010734558105,7.561069991588592,0,7.561069991588592,0,0,0,0,0
