epsilon,model,E_T,completed,onChainCount,offChainCount,crossDomainCount,managementCount,actualOnChainRatio,actualOffChainRatio,actualCrossDomainRatio,actualManagementRatio,arrivalSpanSec,targetLambdaOffchain,targetLambdaOnchain,observedLambdaOffchain,observedLambdaOnchain,avgLatencyMs,avgQueueMs,avgServiceMs,avgOffchainProofMs,avgPkiChainVerifyMs,chainTxCount,chainBlockCount,avgTxPerChainBlock,maxTxPerChainBlock,gasUsed
0,DPKI,0.14679450800031424,100,37,63,0,10,0.37,0.63,0,0.1,34.42459200000763,1.8900000000000001,1.1099999999999999,1.830087049397304,1.074813029011115,146.79450800031424,6.520390000492334,140.2741179998219,116.37881111034325,0,37,37,1,1,9049567
0,PKI,0.16236025400042534,100,0,0,0,10,0,0,0,0.1,36.25400489999354,0,0,0,0,162.36025400042533,0.03464300021529198,162.32561100021005,0,162.32561100021005,0,0,0,0,0
0.05,DPKI,0.1728761189994216,100,40,60,4,10,0.4,0.6,0.04,0.1,36.00545679999888,1.7954999999999997,1.2045000000000001,1.666414075324323,1.110942716882882,172.8761189994216,3.2763449992239475,169.59977400019764,136.2097966675957,0,40,40,1,1,9836614
0.05,PKI,0.18848180099964143,100,0,0,5,10,0,0,0.05,0.1,30.41680640000105,0,0,0,0,188.48180099964142,0.03476400032639503,188.44703699931503,0,188.44703699931503,0,0,0,0,0
0.1,DPKI,0.1810093320001662,100,43,57,9,10,0.43,0.57,0.09,0.1,30.58626860000193,1.701,1.299,1.863581358858413,1.405859621594943,181.00933200016618,11.224043999761342,169.78528800040485,130.73959298301162,0,43,43,1,1,10624345
0.1,PKI,0.16731963999912142,100,0,0,9,10,0,0,0.09,0.1,35.55113709999621,0,0,0,0,167.31963999912142,0.03478699997067451,167.28485299915076,0,167.28485299915076,0,0,0,0,0
0.15,DPKI,0.15301105299949647,100,46,54,13,10,0.46,0.54,0.13,0.1,34.73614460000396,1.6065,1.3935,1.5545766699737265,1.324269015162804,153.01105299949646,5.377363998442888,147.63368900105357,134.56655740931078,0,46,46,1,1,11411332
0.15,PKI,0.19108301299884914,100,0,0,14,10,0,0,0.14,0.1,39.50658790001273,0,0,0,0,191.08301299884914,0.030603999197483064,191.05240899965168,0,191.05240899965168,0,0,0,0,0
0.2,DPKI,0.18649800299957395,100,50,50,18,10,0.5,0.5,0.18,0.1,35.099699999988076,1.512,1.4880000000000002,1.4245135998318215,1.4245135998318215,186.49800299957394,18.445016999542712,168.05298600003124,123.18848800092935,0,50,50,1,1,12461304
0.2,PKI,0.18681783399984242,100,0,0,18,10,0,0,0.18,0.1,37.956321499988434,0,0,0,0,186.8178339998424,0.026251001209020616,186.79158299863337,0,186.79158299863337,0,0,0,0,0
0.25,DPKI,0.18564748300001024,100,53,47,23,10,0.53,0.47,0.23,0.1,39.188916100010275,1.4175,1.5825000000000002,1.1993187022589706,1.3524232174409667,185.64748300001025,4.422472000271082,181.22501099973917,169.17455532100607,0,53,53,1,1,13248927
0.25,PKI,0.19663573399946094,100,0,0,23,10,0,0,0.23,0.1,30.4219728000015,0,0,0,0,196.63573399946094,0.021172999888658523,196.6145609995723,0,196.6145609995723,0,0,0,0,0
0.3,DPKI,0.20377665099963546,100,56,44,27,10,0.56,0.44,0.27,0.1,27.019019600003958,1.323,1.6769999999999998,1.6284824783203293,2.0726140633167827,203.77665099963545,42.75268000021577,161.0239709994197,138.04992727257988,0,56,56,1,1,14036514
0.3,PKI,0.18624682299911977,100,0,0,27,10,0,0,0.27,0.1,28.78635909999907,0,0,0,0,186.24682299911976,0.020044999569654463,186.2267779995501,0,186.2267779995501,0,0,0,0,0
0.35,DPKI,0.27427398100063205,100,59,41,31,10,0.59,0.41,0.31,0.1,38.67050310000777,1.2285000000000001,1.7715,1.0602396326204446,1.5257106908440543,274.27398100063203,97.56121500015259,176.71276600047946,95.62362439130864,0,59,59,1,1,14823813
0.35,PKI,0.25197878400072454,100,0,0,31,10,0,0,0.31,0.1,25.399729300007223,0,0,0,0,251.97878400072454,1.4874600003659726,250.4913240003586,0,250.4913240003586,0,0,0,0,0
0.4,DPKI,0.2426757560004294,100,62,38,36,10,0.62,0.38,0.36,0.1,32.05257689999044,1.134,1.8660000000000003,1.1855521045489272,1.9343218547903551,242.6757560004294,65.87289700046182,176.80285899996758,118.90547631484897,0,62,62,1,1,15610896
0.4,PKI,0.23068617400035263,100,0,0,36,10,0,0,0.36,0.1,28.468050500005482,0,0,0,0,230.68617400035262,0.01854699969291687,230.6676270006597,0,230.6676270006597,0,0,0,0,0
0.45,DPKI,0.28490343500047927,100,65,35,40,10,0.65,0.35,0.4,0.1,29.60744730000198,1.0395,1.9605,1.1821350096601424,2.195393589368836,284.90343500047925,86.51110500082373,198.3923299996555,176.8806885698012,0,65,65,1,1,16398423
0.45,PKI,0.21693396300002935,100,0,0,40,10,0,0,0.4,0.1,33.623187700003385,0,0,0,0,216.93396300002934,0.020809999853372573,216.91315300017595,0,216.91315300017595,0,0,0,0,0
0.5,DPKI,0.25768044199973344,100,69,31,45,10,0.69,0.31,0.45,0.1,27.228377500012517,0.9450000000000001,2.055,1.1385180773252372,2.5341208817884313,257.68044199973343,77.43877900019288,180.24166299954058,131.8363096762088,0,69,69,1,1,17448227
0.5,PKI,0.20196390900045633,100,0,0,45,10,0,0,0.45,0.1,29.244966800004242,0,0,0,0,201.96390900045634,0.017393001317977906,201.94651599913834,0,201.94651599913834,0,0,0,0,0
