epsilon,n,ET,queue,service,on_count,off_count,cross_count,on_queue,on_service,off_queue,off_service,mgmt_queue,mgmt_service
0.0,500,0.18112151400002838,0.01425027459987998,0.1668712394001484,185,315,0,0.03845306540510139,0.2241339108109474,3.593714284518404e-05,0.1332407815874569,0.0017962959998846053,0.39612763200074436
0.05,500,0.18367609599998594,0.018953379600286487,0.16472271639969943,201,299,23,0.047104719403000615,0.21463903781067376,2.8900334916784564e-05,0.13116692842777358,0.015334214001595974,0.40945353999972345
0.1,500,0.2181376751998663,0.035036901800006626,0.18310077339985967,217,283,45,0.08069886451609398,0.24622326405497466,2.4018727953779354e-05,0.13469942897526618,0.015095398000478745,0.5231338159999251
0.15,500,0.19880428959906102,0.027906160399228334,0.1708981291998327,232,268,67,0.0601144840513067,0.21319160517215216,2.4327983996316522e-05,0.13428586641782475,0.026965581998825074,0.40653822000056505
0.2,500,0.19042462460014223,0.02028716099998355,0.1701374636001587,248,252,90,0.040879064515954064,0.22220670685502553,2.2113095377645753e-05,0.1188947162699723,0.006597605999112129,0.46624024399966
0.25,500,0.2029285890004039,0.03089095299991965,0.17203763600048425,264,236,113,0.058484315909445285,0.20319381287908464,2.3801270619792412e-05,0.13718496356001597,0.012679613999724388,0.43250739800095556
0.3,500,0.2075432858002782,0.03657466180035472,0.17096862399992346,280,220,135,0.06529471214296562,0.20030850035745118,2.1870455213568377e-05,0.13362696318125183,0.03876196199983358,0.38924406000077727
0.35,500,0.20183709959971904,0.04079433040001988,0.16104276919969918,295,205,157,0.06912735999943846,0.19498924305075305,2.2409756954123285e-05,0.11219296536525575,0.03180122200012207,0.44596437399864197
0.4,500,0.18280299539995193,0.022123135799646376,0.16067985960030554,311,189,180,0.03555392668767566,0.1792056816721461,2.2733862201372734e-05,0.13019557037098067,0.019489844000935556,0.34075307599961757
0.45,500,0.19215551760029795,0.04316968600034714,0.1489858315999508,327,173,203,0.0659970669729994,0.16906924097855155,2.1977456663385244e-05,0.11102470520224873,0.04085420199930668,0.31452057600200173
0.5,500,0.24757911780005692,0.07592492880004645,0.17165418900001048,343,157,225,0.11066773177826716,0.1902580469387961,2.186242087631464e-05,0.13101009171973368,0.061462509999871254,0.4124118159994483
