epsilon,DPKI_lower_theory,DPKI_sim,DPKI_upper_theory,DPKI_inside_bounds,PKI_theory,PKI_sim,PKI_abs_error,DPKI_minus_PKI
0.0,0.036521997784894344,0.0601436659990251,0.05088784079466786,False,0.0761158800912704,0.0693081059999763,0.0068077740912941,-0.009164440000951207
0.05,0.03683175010720492,0.0543126440002024,0.052466145841335576,False,0.08286267398917554,0.0815811980006098,0.0012814759885657473,-0.027268554000407397
0.1,0.037144754629942864,0.0737264080008864,0.054055716428444804,False,0.08960946788708066,0.0882354399998486,0.0013740278872320516,-0.01450903199896221
0.15,0.03746102934686566,0.0568007050004601,0.055656594497029276,False,0.0963562617849858,0.0881552960009872,0.008200965783998593,-0.03135459100052711
0.2,0.03778059238483934,0.0683225999996066,0.05726882229822869,False,0.10310305568289091,0.0910672569999098,0.012035798682981103,-0.022744657000303203
0.25,0.03810346200506388,0.0664722869993746,0.058892442396152433,False,0.10984984958079605,0.1037309630000591,0.006118886580736949,-0.0372586760006845
0.3,0.03842965660431219,0.0731481830008328,0.06052749767077506,False,0.11659664347870116,0.1158287379997968,0.0007679054789043599,-0.042680554998964004
0.35,0.03875919471618316,0.0841510499998927,0.062174031320864326,False,0.1233434373766063,0.1113802419999241,0.011963195376682195,-0.027229192000031405
0.4,0.03909209501236847,0.0719885889995098,0.0638320868669417,False,0.13009023127451144,0.1224700409997999,0.007620190274711544,-0.0504814520002901
0.45,0.03942837630393384,0.075342036999017,0.06550170815427626,False,0.13683702517241658,0.1331273080003261,0.003709717172090482,-0.057785271001309105
0.5,0.03976805754261452,0.080810992000699,0.0671829393559121,False,0.1435838190703217,0.1338832699990272,0.0097005490712945,-0.0530722779983282
