epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim,onChainCount,requests,crossCount,crossTotal
0.0,0.19035533456618442,0.1720589055969884,0.16852391121465088,0.10882352941176472,0.0601,0.0693,37,100,0,100
0.05,0.19569616676834836,0.1754496418236074,0.18440626415582734,0.10882352941176472,0.0543,0.0816,40,100,4,100
0.1,0.20131261065408051,0.17904677458843754,0.20028861709700382,0.10882352941176472,0.0737,0.0882,43,100,9,100
0.15,0.20721581640697473,0.1828594243236433,0.21617097003818028,0.10882352941176472,0.0568,0.0882,46,100,13,100
0.2,0.2134176034975692,0.18689725919477834,0.23205332297935674,0.10882352941176472,0.0683,0.0911,50,100,18,100
0.25,0.21993051143461562,0.191170536614571,0.24793567592053323,0.10882352941176472,0.0665,0.1037,53,100,23,100
0.3,0.2267678552182389,0.19569014860319373,0.2638180288617097,0.10882352941176472,0.0731,0.1158,56,100,27,100
0.35,0.23394378601101878,0.20046767141718588,0.2797003818028862,0.10882352941176472,0.0842,0.1114,59,100,31,100
0.4,0.24147335760877578,0.20551541992299033,0.2955827347440627,0.10882352941176472,0.072,0.1225,62,100,36,100
0.45,0.24937259936816794,0.21084650725269002,0.3114650876852392,0.10882352941176472,0.0753,0.1331,65,100,40,100
