epsilon,model,E_T,completed,onChainCount,offChainCount,crossDomainCount,managementCount,actualOnChainRatio,actualOffChainRatio,actualCrossDomainRatio,actualManagementRatio,arrivalSpanSec,targetLambdaOffchain,targetLambdaOnchain,observedLambdaOffchain,observedLambdaOnchain,avgLatencyMs,avgQueueMs,avgServiceMs,avgOffchainProofMs,avgPkiChainVerifyMs,chainTxCount,chainBlockCount,avgTxPerChainBlock,maxTxPerChainBlock,gasUsed
0,DPKI,0.060143665999025105,100,37,63,0,10,0.37,0.63,0,0.1,31.472032800003888,1.8900000000000001,1.1099999999999999,2.0017772731856143,1.1756469699661545,60.1436659990251,0.6248229989409446,59.51884300008416,21.0118476187899,0,37,37,1,1,9049471
0,PKI,0.06930810599997639,100,0,0,0,10,0,0,0,0.1,36.329933899998665,0,0,0,0,69.30810599997639,0.03538999989628792,69.27271600008011,0,69.27271600008011,0,0,0,0,0
0.05,DPKI,0.05431264400020242,100,40,60,4,10,0.4,0.6,0.04,0.1,35.785226000010965,1.7954999999999997,1.2045000000000001,1.676669584257526,1.1177797228383508,54.31264400020242,0.03895699962973595,54.27368700057268,18.193418333431087,0,40,40,1,1,9836770
0.05,PKI,0.08158119800060987,100,0,0,5,10,0,0,0.05,0.1,40.58610269999504,0,0,0,0,81.58119800060987,0.03921200037002563,81.54198600023985,0,81.54198600023985,0,0,0,0,0
0.1,DPKI,0.07372640800088644,100,43,57,9,10,0.43,0.57,0.09,0.1,34.14239600001275,1.701,1.299,1.66947861538419,1.2594312361670206,73.72640800088644,3.326153000146151,70.40025500074029,23.12065263170945,0,43,43,1,1,10624153
0.1,PKI,0.0882354399998486,100,0,0,9,10,0,0,0.09,0.1,33.48688420000672,0,0,0,0,88.23543999984861,0.038595999628305434,88.1968440002203,0,88.1968440002203,0,0,0,0,0
0.15,DPKI,0.056800705000460146,100,46,54,13,10,0.46,0.54,0.13,0.1,28.91296029999852,1.6065,1.3935,1.867674545937199,1.5909820206131695,56.80070500046015,0.26496999979019165,56.53573500066996,15.257201852897802,0,46,46,1,1,11411740
0.15,PKI,0.08815529600098729,100,0,0,14,10,0,0,0.14,0.1,36.451314199998976,0,0,0,0,88.15529600098729,0.032125000357627866,88.12317100062967,0,88.12317100062967,0,0,0,0,0
0.2,DPKI,0.0683225999996066,100,50,50,18,10,0.5,0.5,0.18,0.1,32.051812000006436,1.512,1.4880000000000002,1.5599742067621625,1.5599742067621625,68.32259999960661,4.4658149999380115,63.8567849996686,16.677698000371457,0,50,50,1,1,12461436
0.2,PKI,0.09106725699990988,100,0,0,18,10,0,0,0.18,0.1,31.231040799990296,0,0,0,0,91.06725699990987,0.02943400025367737,91.0378229996562,0,91.0378229996562,0,0,0,0,0
0.25,DPKI,0.06647228699937463,100,53,47,23,10,0.53,0.47,0.23,0.1,30.267354899987577,1.4175,1.5825000000000002,1.5528281263857415,1.751061504222219,66.47228699937463,1.7428869995474816,64.72939999982715,16.16506808425518,0,53,53,1,1,13248855
0.25,PKI,0.10373096300005913,100,0,0,23,10,0,0,0.23,0.1,32.46596690000594,0,0,0,0,103.73096300005913,0.028550001233816145,103.70241299882531,0,103.70241299882531,0,0,0,0,0
0.3,DPKI,0.0731481830008328,100,56,44,27,10,0.56,0.44,0.27,0.1,31.716242899999024,1.323,1.6769999999999998,1.3873017727456411,1.7656568016762706,73.1481830008328,6.106892001330852,67.04129099950194,17.748793181031942,0,56,56,1,1,14035662
0.3,PKI,0.11582873799979687,100,0,0,27,10,0,0,0.27,0.1,40.52757270000875,0,0,0,0,115.82873799979687,0.027156000286340715,115.80158199951053,0,115.80158199951053,0,0,0,0,0
0.35,DPKI,0.0841510499998927,100,59,41,31,10,0.59,0.41,0.31,0.1,36.651432099998,1.2285000000000001,1.7715,1.118646602624901,1.609759745240711,84.1510499998927,4.452864000201226,79.69818599969149,21.597360975858642,0,59,59,1,1,14822685
0.35,PKI,0.11138024199992418,100,0,0,31,10,0,0,0.31,0.1,31.752474399998786,0,0,0,0,111.38024199992418,0.017868999540805817,111.36237300038337,0,111.36237300038337,0,0,0,0,0
0.4,DPKI,0.07198858899950981,100,62,38,36,10,0.62,0.38,0.36,0.1,36.636228000000116,1.134,1.8660000000000003,1.0372246837201657,1.6923139576486914,71.98858899950982,3.1860759994387626,68.80251300007104,17.349665789619873,0,62,62,1,1,15610464
0.4,PKI,0.12247004099979997,100,0,0,36,10,0,0,0.36,0.1,30.333407300010325,0,0,0,0,122.47004099979996,0.02070799931883812,122.44933300048113,0,122.44933300048113,0,0,0,0,0
0.45,DPKI,0.075342036999017,100,65,35,40,10,0.65,0.35,0.4,0.1,30.49577389998734,1.0395,1.9605,1.1477000096729641,2.1314428751069334,75.342036999017,3.1362929981946945,72.2057440008223,14.873145716956683,0,65,65,1,1,16398147
0.45,PKI,0.13312730800032616,100,0,0,40,10,0,0,0.4,0.1,30.60124010001123,0,0,0,0,133.12730800032617,0.018559999763965607,133.1087480005622,0,133.1087480005622,0,0,0,0,0
0.5,DPKI,0.08081099200069905,100,69,31,45,10,0.69,0.31,0.45,0.1,39.61776420000196,0.9450000000000001,2.055,0.7824772706380656,1.7416429572266623,80.81099200069904,6.377151999473572,74.43384000122548,15.653170969217054,0,69,69,1,1,17448107
0.5,PKI,0.13388326999902725,100,0,0,45,10,0,0,0.45,0.1,33.002362300008535,0,0,0,0,133.88326999902725,0.020292999148368837,133.8629769998789,0,133.8629769998789,0,0,0,0,0
