lambda,epsilon,DPKI_sim,PKI_sim,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiMuCrossExtraCertificateMeasured,meanBlockMs,configuredLambdaBlock,runDir,lambdaBlockMeasurementSource
2.0,0.1,0.0750019244995713,,0.0736182061650178,0.05773321368913037,0.06890750629291151,0.03127272503297664,2.2891191188761297,0.1,0.30246913580246915,0.29474951637701186,22.678222177673344,31.24802492282927,4,22.678222177673344,22.678222177673344,20,50.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms20_lambda_2,empty_block_height_observation
3.0,0.1,0.0729856639999151,,0.07338849239766146,0.05680904328224738,0.06806889227175832,0.03937984771349442,2.9525636968113624,0.1,0.30246913580246915,0.3295266212859744,22.557914151461212,30.822414557906455,4,22.557914151461212,22.557914151461212,20,50.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms20_lambda_3,empty_block_height_observation
4.0,0.1,0.0803632469993829,,0.08016097128686372,0.061769727239272265,0.07263348600558045,0.06254068530888289,4.504359086749146,0.1,0.30246913580246915,0.319557572635314,21.839720033422964,30.461652962654806,4,21.839720033422964,21.839720033422964,20,50.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms20_lambda_4,empty_block_height_observation
5.0,0.1,0.0772607074998319,,0.08122337419223705,0.06271778037811637,0.07194022273286509,0.07022138837022696,5.149055886746333,0.1,0.30246913580246915,0.27572932670969724,23.146728505619404,31.472994274644837,4,23.146728505619404,23.146728505619404,20,50.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms20_lambda_5,empty_block_height_observation
6.0,0.1,0.080112132499516,,0.08086903296280869,0.06149179112120731,0.07102254286818034,0.0753586770847433,5.6306670746163965,0.1,0.30246913580246915,0.30069628541335325,23.023703372264315,30.494088092296025,4,23.023703372264315,23.023703372264315,20,50.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms20_lambda_6,empty_block_height_observation
7.0,0.1,0.0850395835001766,,0.08814927087799593,0.06660804709540091,0.07438927644685664,0.09659557938905737,7.075451915223431,0.1,0.30246913580246915,0.2774415497027629,23.081170860494677,29.970241573832578,4,23.081170860494677,23.081170860494677,20,50.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms20_lambda_7,empty_block_height_observation
8.0,0.1,0.0897032485008239,,0.0971702591560782,0.07315756827145906,0.08107391854714802,0.11652048560947932,8.009232787264628,0.1,0.30246913580246915,0.3008021109824781,21.178539227738565,28.80437529499531,4,21.178539227738565,21.178539227738565,20,50.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms20_lambda_8,empty_block_height_observation
2.0,0.1,0.0833710045008361,,0.08374563823314962,0.06084157406294834,0.0718139254191557,0.030249692054200365,2.114010555275726,0.1,0.30246913580246915,0.25642471395102795,22.537643747897672,21.669531121660615,4,22.537643747897672,22.537643747897672,30,33.333333333333336,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms30_lambda_2,empty_block_height_observation
3.0,0.1,0.0769563474991917,,0.07953049197201051,0.058059079270017744,0.06892595889840396,0.036989106335870145,2.7234837448864058,0.1,0.30246913580246915,0.29062496890290185,22.900311015329464,23.675652653851174,4,22.900311015329464,22.900311015329464,30,33.333333333333336,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms30_lambda_3,empty_block_height_observation
4.0,0.1,0.0839996240007877,,0.08203378790154289,0.05966964848954147,0.0696415352824471,0.05653584957036297,4.213417873598462,0.1,0.30246913580246915,0.28661277561847087,23.26908245360744,24.608674918567555,4,23.26908245360744,23.26908245360744,30,33.333333333333336,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_lambdap_r200\lp_ms30_lambda_4,empty_block_height_observation
