bucket,intra-off-chain,intra-on-chain,cross-domain
OpenSSL cert verify,9.934925961494447,10.931030804158322,10.622832520160733
MPT proof/cache,1.687206922700772,0.0,0.06712886139871628
chain root read,3.6803759618160816,0.0,2.3467528454777673
MPT verify,0.5794926924487719,0.0,0.41404959311087924
entity auth sign/verify,2.070283845926707,0.0,0.0
service record sign,0.0,0.742461607192776,0.6897410569273359
on-chain auth tx,0.0,78.70596116029525,75.50796138222624
entity tx-id sign,0.0,0.6882178573203939,0.5776752033611623
resolve on-chain auth record,0.0,3.49917589294325,2.6210906501950286
verify resolved record,0.0,2.7634053570218384,2.4198113822234357
root mismatch wait,0.23722807690501213,0.0,0.0
root mismatch retry flag,0.007692307692307693,0.0,0.0
