epsilon,DPKI_sim,PKI_sim,PKI_sim_raw,pkiNetworkCompensationSec,pkiNetworkCompensationMs,pkiAuthNetworkSetupMs,pkiOcspNetworkRttMs,pkiAuthCount,pkiOcspCount,pkiCompleted,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,pkiMuCrossExtraCertificateMeasured,calibrationScope
0.0,0.2061684875795945,0.2369646682459706,0.2343680984419706,0.002596569804,2.5965698039999996,1.48386291,1.40121465,900,900,1000,0.2358138170307273,0.21503474678167256,0.26558107049973784,0.1623103883693116,3.0678387637386915,0.1,0.3,0.7835946701700718,5.334586366133934,27.156764220542776,4,5.814340337313872,0.30259103409537963,5.814340337313872,per-epsilon+local-ocsp-network-compensation
0.05,0.3267270252413363,0.2896764076072401,0.2868906738254901,0.00278573378175,2.7857337817500003,1.48386291,1.40121465,900,1035,1000,0.23979602767022445,0.21676191208989437,0.3172177312973881,0.17187201827520315,3.0188106625426863,0.1,0.30058479532163745,0.811851821012055,5.3458907197913215,27.156764220542776,4,5.518518600662262,0.2803017233452213,5.518518600662262,per-epsilon+local-ocsp-network-compensation
0.1,0.1982735010771288,0.3145048073668957,0.3115299096073957,0.0029748977595,2.9748977595,1.48386291,1.40121465,900,1170,1000,0.2384199722194716,0.21325462471939038,0.3613081466661228,0.17978443997634325,3.005499561584364,0.1,0.3,0.8290568065439142,5.4931820237871065,27.156764220542776,4,5.171683935078564,0.2963408508539112,5.171683935078564,per-epsilon+local-ocsp-network-compensation
0.15,0.2337463639155015,0.34856760664273356,0.3454035449054836,0.00316406173725,3.16406173725,1.48386291,1.40121465,900,1305,1000,0.2443444188362573,0.21686305272962625,0.39109667255626634,0.177580028585789,2.931454551460917,0.1,0.29934640522875816,0.8193423565860041,5.50211901896238,27.156764220542776,4,5.093268546136179,0.29926787745579686,5.093268546136179,per-epsilon+local-ocsp-network-compensation
0.2,0.2151778660585381,0.3834751307285557,0.3801219050135557,0.003353225715,3.3532257149999998,1.48386291,1.40121465,900,1440,1000,0.24676244494381722,0.2170427081467124,0.4442969006241485,0.18306538868294783,2.8612003336155203,0.1,0.3,0.8240033060616679,5.573694324128161,27.156764220542776,4,4.866993717494472,0.28935148581640957,4.866993717494472,per-epsilon+local-ocsp-network-compensation
0.25,0.2407950468525563,0.3880591763541323,0.3845167866613823,0.00354238969275,3.54238969275,1.48386291,1.40121465,900,1575,1000,0.2567510499253856,0.2234842949536438,0.4398725678704799,0.17968041313636343,3.0003199923996764,0.1,0.30074074074074075,0.8262966025898625,5.599142514094265,27.156764220542776,4,5.03025607741039,0.3278801855695317,5.03025607741039,per-epsilon+local-ocsp-network-compensation
0.3,0.3275125727607562,0.42008350012697027,0.4163519464564703,0.0037315536705,3.7315536705,1.48386291,1.40121465,900,1710,1000,0.2670289531705353,0.23068462640361578,0.4956167470401525,0.18951247761977563,3.006921838688227,0.1,0.3,0.8666491303565542,5.534814476270689,27.156764220542776,4,4.880308531464127,0.302724131640704,4.880308531464127,per-epsilon+local-ocsp-network-compensation
0.35,0.3378524897728042,0.46696559267678384,0.4630448750285338,0.00392071764825,3.92071764825,1.48386291,1.40121465,900,1845,1000,0.2839291829939349,0.24409485579620963,0.5417796617837705,0.19352800981178647,2.976084901174928,0.1,0.29914529914529914,0.8667198200106994,5.404079136785659,27.156764220542776,4,4.772216280173498,0.2929927799225591,4.772216280173498,per-epsilon+local-ocsp-network-compensation
0.4,0.2183564455528621,0.4982357578092706,0.4941258761832706,0.004109881626,4.109881626,1.48386291,1.40121465,900,1980,1000,0.2833550810379572,0.2420226732321802,0.5732616874570016,0.1834730572131655,2.788319063106695,0.1,0.3,0.9220972013376485,5.418778358355952,27.156764220542776,4,4.59941244413377,0.32198204207092945,4.59941244413377,per-epsilon+local-ocsp-network-compensation
0.45,0.313390996144508,0.5231523981522167,0.5188533525484667,0.00429904560375,4.29904560375,1.48386291,1.40121465,900,2115,1000,0.2905920216082025,0.24581551855584372,0.6158948398692923,0.19043303650919072,2.844677617810105,0.1,0.298989898989899,0.9072677514843877,5.514598072356797,27.156764220542776,4,4.555116147577666,0.3127502200058466,4.555116147577666,per-epsilon+local-ocsp-network-compensation
0.5,0.3655325287811302,0.5028225517761458,0.4983343421946458,0.0044882095815,4.4882095815,1.48386291,1.40121465,900,2250,1000,0.29979864481857027,0.2511344024857951,0.5853810721216609,0.1779018480373163,2.9082035163255293,0.1,0.3,0.8498975882637086,5.645467298964849,27.156764220542776,4,4.93118810809618,0.32614632125962084,4.93118810809618,per-epsilon+local-ocsp-network-compensation
0.55,0.2289021568819364,0.568565732821635,0.5638883592623851,0.0046773735592499,4.6773735592499,1.48386291,1.40121465,900,2385,1000,0.31798457132793073,0.2642672044245394,0.6707187159140978,0.20000685980495606,3.0235188624211142,0.1,0.29876543209876544,0.9129347778012814,5.593493017084804,27.156764220542776,4,4.659060817755351,0.3004860126316624,4.659060817755351,per-epsilon+local-ocsp-network-compensation
0.6,0.3224585428694323,0.6029394368595871,0.5980728993225871,0.004866537537,4.866537537,1.48386291,1.40121465,900,2520,1000,0.36458130239954895,0.3027408407848577,0.709096941955383,0.2089635278634576,3.1394348173934024,0.1,0.3,1.004472622133374,5.27849287567306,27.156764220542776,4,4.627876613039103,0.30107598817413517,4.627876613039103,per-epsilon+local-ocsp-network-compensation
