lambda,epsilon,DPKI_sim,PKI_sim,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiMuCrossExtraCertificateMeasured,meanBlockMs,configuredLambdaBlock,lambdaBlockMeasurementSource,runDir
4.0,0.1,0.403149614466754,,0.2714249812310632,0.23890140909616736,0.29116428141769285,0.18718010109475774,3.8443481432679123,0.1,0.3,0.8026782049982011,5.260780191051678,24.453344349034328,4,5.260780191051678,5.260780191051678,25,40.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms25_lambda_4
6.0,0.1,0.7126451534165039,,0.3237985617380785,0.27831749042867965,0.316145973740599,0.28121536009669107,5.894493085631019,0.1,0.3,0.7943814304546167,5.3758325964349565,23.952167214514365,4,5.3758325964349565,5.3758325964349565,25,40.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms25_lambda_6
8.0,0.1,1.3204065779247711,,0.461627583482132,0.3844614073503477,0.3608049695222465,0.386711708262811,8.134421119776949,0.1,0.3,0.7897289718656475,5.398728409216698,22.135866713849193,4,5.398728409216698,5.398728409216698,25,40.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms25_lambda_8
10.0,0.1,2.240765427874712,,0.8155712525733433,0.6681368187538267,0.410201153169729,0.4702652947651467,9.890226597444682,0.1,0.3,0.7660710970782544,5.418343922019423,21.56847396772352,4,5.418343922019423,5.418343922019423,25,40.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms25_lambda_10
12.0,0.1,4.875027671854655,,inf,inf,0.5119321774777932,0.5787323971122611,11.955944200330645,0.1,0.3,0.812653611167935,5.283777319524497,22.27137485693388,4,5.283777319524497,5.283777319524497,25,40.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms25_lambda_12
14.0,0.1,7.220208754240889,,inf,inf,0.7047868767832666,0.7083843326609642,14.904335868688467,0.1,0.3,0.787565609496894,5.401855316111222,23.958320708306722,4,5.401855316111222,5.401855316111222,25,40.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms25_lambda_14
16.0,0.1,8.009517315612998,,inf,inf,0.806063515584133,0.7446864088498021,15.50648670928482,0.1,0.3,0.7976949979100211,5.3377333025160265,24.070912266895398,4,5.3377333025160265,5.3377333025160265,25,40.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms25_lambda_16
4.0,0.1,0.4108238704895905,,0.26482334888512554,0.23694133497059022,0.29016627784962945,0.18848610916699987,3.892747717905516,0.1,0.3,0.8487948540034055,5.255153183755275,28.501797768271405,4,5.255153183755275,5.255153183755275,20,50.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms20_lambda_4
6.0,0.1,0.8769219454097066,,0.3103438120280376,0.27267178464902697,0.31270653976419494,0.27265377103241784,5.720616698428643,0.1,0.3,0.7974751577832793,5.3785209534215195,28.033344805975105,4,5.3785209534215195,5.3785209534215195,20,50.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms20_lambda_6
8.0,0.1,1.3544567407182382,,0.4444713490871802,0.3822565285399329,0.3657347955826925,0.38508018475494704,7.97269261164795,0.1,0.3,0.8228915151181021,5.28739650708318,26.88967922339962,4,5.28739650708318,5.28739650708318,20,50.0,empty_block_height_observation,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_first_three\fig2_lambda\fig2_lp_ms20_lambda_8
