sequence,method,from,serializationWaitMs,estimateGasMs,nonceMs,encodeMs,signMs,submitToHashMs,hashToReceiptMs,receiptTotalMs,lockHeldMs,totalMs,gasEstimate,gasLimit,gasUsed,nonce,blockNumber,transactionIndex,transactionHash,status,error
1,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.12780001759529114,7.164199978113174,0.0031999945640563965,0.1394999921321869,3.9946999847888947,3.249099999666214,39.361299991607666,42.61039999127388,15.05799999833107,54.25440001487732,57684,800000,44373,61433,3210504,0,0xf81bb31ce23cf795ceae69caf88047e2f24670990ff0008dcaeece9f11ac7024,true,
2,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.007600009441375732,8.641499996185303,0.003200024366378784,0.9964999854564667,3.2262000143527985,2.591600000858307,102.0916000008583,104.68320000171661,15.790299981832504,117.62330001592636,245758,800000,189045,61434,3210505,0,0x1a08cf820438ac7ab953bac285038b27a2e00bcd5e3ec76c83092d2e81cb901e,true,
3,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0070999860763549805,6.81029999256134,0.002499997615814209,0.6636999845504761,2.6772000193595886,2.958499997854233,53.366299986839294,56.32479998469353,13.407800018787384,66.53020000457764,245774,800000,189057,61435,3210506,0,0x6a75d81a1af288b23f46c19365efd991b40e16ea44062bbd520169b3e9c4083e,true,
4,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.006400018930435181,5.334700018167496,0.0031000077724456787,0.44609999656677246,2.6685999929904938,2.416399985551834,36.79030001163483,39.20669999718666,11.165499985218048,47.70380002260208,245758,800000,189045,61436,3210507,0,0x91fd377fe733ce84e3abac7d945c7a12da22148ef3beec1fed755db443e36d20,true,
5,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.013300001621246338,6.31810000538826,0.0026000142097473145,0.1348000168800354,2.8313000202178955,2.5752999782562256,28.594700008630753,31.169999986886978,12.231100022792816,40.512000024318695,57684,800000,44373,61437,3210509,0,0xe86861064de7a230c06253369df56b90195f49b2ed8671c2c2d7037b31d1cfdb,true,
6,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.006099998950958252,5.6606999933719635,0.0032999813556671143,0.5785999894142151,2.411300003528595,2.3176999986171722,56.370200008153915,58.68790000677109,11.266299992799759,67.39239999651909,245758,800000,189045,61438,3210511,0,0xf5d7de1d39f3ae2b93b8a78e8ee153666dee404859ce506504bf26f58f2ca8c9,true,
7,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0067999958992004395,8.61710000038147,0.003500014543533325,0.5735999941825867,2.6561000049114227,2.709199994802475,16.43290001153946,19.142100006341934,15.001399993896484,31.044099986553192,245742,800000,189033,61439,3210513,0,0x75247ac7313511519bad24815980918970acec9b5eb2c911fe912d2c1a894638,true,
8,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.00619998574256897,5.885600000619888,0.0031000077724456787,0.368399977684021,2.505400002002716,2.2630999982357025,55.94439998269081,58.207499980926514,11.338800013065338,67.03270000219345,245774,800000,189057,61440,3210516,0,0xb283e4d514b8f1fdab98f0d5f6e68ede080a768d30bd2f9974777fadd2b84c9f,true,
9,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.00830000638961792,4.994699984788895,0.18889999389648438,0.32739999890327454,2.5284000039100647,2.3057999908924103,24.207000017166138,26.512800008058548,10.834800004959106,34.7325000166893,245774,800000,189057,61441,3210517,0,0xd419e6a25e0fdaaa20ecde27c4fef4435e6e810c0070ca0412665adafe08e5b0,true,
10,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.008899986743927002,6.800999999046326,0.008799999952316284,0.4015999734401703,2.599000006914139,3.4253000020980835,34.942800015211105,38.36810001730919,13.65599998831749,48.24199998378754,245774,800000,189057,61442,3210519,0,0x47fe41187d797f60714595076608481321a1b35f12383431ce55d15267abd10f,true,
11,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.00700002908706665,6.693900018930435,0.004500001668930054,0.34139999747276306,2.536100000143051,2.809799998998642,20.23659998178482,23.046399980783463,12.743099987506866,32.670200020074844,245758,800000,189045,61443,3210521,0,0xecafd911e72339f82bf4653923bfe2bd40498ad1e2d7834c3d75c818a75bed5c,true,
