D,DPKI_Sim_Time_Value,DPKI_Sim_Tail_Prob,DPKI_Approx_Tail_Prob,M/H2/1_Sim_Time_Value,M/H2/1_Sim_Tail_Prob,M/H2/1_Approx_Tail_Prob
,,,,,,
0,6.90E-08,1,0.823733072,0,1,0.20687065
,,,,,,
0.1,0.000821542,0.999,0.823535284,0,0.999,0.20687065
,,,,,,
0.2,0.001646207,0.998,0.823336775,0,0.998,0.20687065
,,,,,,
0.3,0.002465853,0.997,0.823139522,0,0.997,0.20687065
,,,,,,
0.4,0.003286212,0.996,0.822942144,0,0.996,0.20687065
,,,,,,
0.5,0.004111721,0.995,0.822743575,0,0.995,0.20687065
,,,,,,
0.6,0.004942004,0.994,0.822543906,0,0.994,0.20687065
,,,,,,
0.7,0.005772522,0.993,0.822344229,0,0.993,0.20687065
,,,,,,
0.8,0.006621589,0.992,0.822140142,0,0.992,0.20687065
,,,,,,
0.9,0.00746752,0.991,0.82193686,0,0.991,0.20687065
,,,,,,
1,0.008324153,0.99,0.821731057,0,0.99,0.20687065
,,,,,,
1.1,0.009169952,0.989,0.821527907,0,0.989,0.20687065
,,,,,,
1.2,0.010026228,0.988,0.821322292,0,0.988,0.20687065
,,,,,,
1.3,0.010878082,0.987,0.821117791,0,0.987,0.20687065
,,,,,,
1.4,0.011740441,0.986,0.820910819,0,0.986,0.20687065
,,,,,,
1.5,0.012608569,0.985,0.820702515,0,0.985,0.20687065
,,,,,,
1.6,0.013476042,0.984,0.820494421,0,0.984,0.20687065
,,,,,,
1.7,0.014338546,0.983,0.820287571,0,0.983,0.20687065
,,,,,,
1.8,0.015216047,0.982,0.820077178,0,0.982,0.20687065
,,,,,,
1.9,0.016104804,0.981,0.819864142,0,0.981,0.20687065
,,,,,,
2,0.016994398,0.98,0.81965096,0,0.98,0.20687065
,,,,,,
2.1,0.017892683,0.979,0.819435752,0,0.979,0.20687065
,,,,,,
2.2,0.018790978,0.978,0.819220598,0,0.978,0.20687065
,,,,,,
2.3,0.019680328,0.977,0.819007642,0,0.977,0.20687065
,,,,,,
2.4,0.020585064,0.976,0.818791058,0,0.976,0.20687065
