epsilon,source,model,E_T_total
0.0,Theory,PKI FCFS,0.18392251815980631
0.0,Theory,DPKI Upper,0.2196009360664614
0.0,Theory,DPKI Lower,0.20036790111235087
0.014285714285714285,Theory,PKI FCFS,0.18906537530266343
0.014285714285714285,Theory,DPKI Upper,0.22148382735419372
0.014285714285714285,Theory,DPKI Lower,0.20165808846510863
0.02857142857142857,Theory,PKI FCFS,0.1942082324455206
0.02857142857142857,Theory,DPKI Upper,0.2233972872314991
0.02857142857142857,Theory,DPKI Lower,0.20297213499429384
0.04285714285714286,Theory,PKI FCFS,0.19935108958837772
0.04285714285714286,Theory,DPKI Upper,0.22534172594638707
0.04285714285714286,Theory,DPKI Lower,0.20431038524949116
0.05714285714285714,Theory,PKI FCFS,0.2044939467312349
0.05714285714285714,Theory,DPKI Upper,0.2273175616844634
0.05714285714285714,Theory,DPKI Lower,0.20567319044675492
0.07142857142857142,Theory,PKI FCFS,0.209636803874092
0.07142857142857142,Theory,DPKI Upper,0.2293252207618257
0.07142857142857142,Theory,DPKI Lower,0.2070609086306126
0.08571428571428572,Theory,PKI FCFS,0.21477966101694917
0.08571428571428572,Theory,DPKI Upper,0.23136513782361184
0.08571428571428572,Theory,DPKI Lower,0.20847390484081713
0.09999999999999999,Theory,PKI FCFS,0.2199225181598063
0.09999999999999999,Theory,DPKI Upper,0.23343775604839617
0.09999999999999999,Theory,DPKI Lower,0.20991255128400993
0.11428571428571428,Theory,PKI FCFS,0.22506537530266346
0.11428571428571428,Theory,DPKI Upper,0.23554352735863482
0.11428571428571428,Theory,DPKI Lower,0.21137722751046367
0.12857142857142856,Theory,PKI FCFS,0.23020823244552058
0.12857142857142856,Theory,DPKI Upper,0.2376829126373699
0.12857142857142856,Theory,DPKI Lower,0.21286832059608318
0.14285714285714285,Theory,PKI FCFS,0.23535108958837775
0.14285714285714285,Theory,DPKI Upper,0.23985638195141123
0.14285714285714285,Theory,DPKI Lower,0.21438622532984497
0.15714285714285714,Theory,PKI FCFS,0.24049394673123486
0.15714285714285714,Theory,DPKI Upper,0.24206441478122237
0.15714285714285714,Theory,DPKI Lower,0.21593134440686879
0.17142857142857143,Theory,PKI FCFS,0.24563680387409204
0.17142857142857143,Theory,DPKI Upper,0.2443075002577475
0.17142857142857143,Theory,DPKI Lower,0.21750408862731727
0.18571428571428572,Theory,PKI FCFS,0.25077966101694915
0.18571428571428572,Theory,DPKI Upper,0.24658613740642388
0.18571428571428572,Theory,DPKI Lower,0.21910487710133136
0.19999999999999998,Theory,PKI FCFS,0.2559225181598063
0.19999999999999998,Theory,DPKI Upper,0.24890083539863644
0.19999999999999998,Theory,DPKI Lower,0.22073413746021606
