epsilon,source,model,E_T_total
0.0,Theory,PKI FCFS,0.1950316856780735
0.0,Theory,DPKI Upper,0.18780430239484872
0.0,Theory,DPKI Lower,0.179107459876568
0.014285714285714285,Theory,PKI FCFS,0.20017454282093067
0.014285714285714285,Theory,DPKI Upper,0.1895397303067336
0.014285714285714285,Theory,DPKI Lower,0.18023680691221755
0.02857142857142857,Theory,PKI FCFS,0.20531739996378778
0.02857142857142857,Theory,DPKI Upper,0.19131463467290463
0.02857142857142857,Theory,DPKI Lower,0.18139631593123662
0.04285714285714286,Theory,PKI FCFS,0.21046025710664495
0.04285714285714286,Theory,DPKI Upper,0.1931296237138327
0.04285714285714286,Theory,DPKI Lower,0.18258649750541783
0.05714285714285714,Theory,PKI FCFS,0.21560311424950207
0.05714285714285714,Theory,DPKI Upper,0.1949853195890841
0.05714285714285714,Theory,DPKI Lower,0.18380787391959463
0.07142857142857142,Theory,PKI FCFS,0.22074597139235924
0.07142857142857142,Theory,DPKI Upper,0.19688235879535423
0.07142857142857142,Theory,DPKI Lower,0.1850609795058785
0.08571428571428572,Theory,PKI FCFS,0.22588882853521636
0.08571428571428572,Theory,DPKI Upper,0.1988213925782754
0.08571428571428572,Theory,DPKI Lower,0.18634636098946328
0.09999999999999999,Theory,PKI FCFS,0.23103168567807353
0.09999999999999999,Theory,DPKI Upper,0.20080308735855945
0.09999999999999999,Theory,DPKI Lower,0.18766457784646842
0.11428571428571428,Theory,PKI FCFS,0.23617454282093064
0.11428571428571428,Theory,DPKI Upper,0.20282812517305865
0.11428571428571428,Theory,DPKI Lower,0.18901620267431066
0.12857142857142856,Theory,PKI FCFS,0.24131739996378782
0.12857142857142856,Theory,DPKI Upper,0.20489720413135987
0.12857142857142856,Theory,DPKI Lower,0.1904018215751201
0.14285714285714285,Theory,PKI FCFS,0.24646025710664493
0.14285714285714285,Theory,DPKI Upper,0.20701103888855127
0.14285714285714285,Theory,DPKI Lower,0.1918220345527389
0.15714285714285714,Theory,PKI FCFS,0.2516031142495021
0.15714285714285714,Theory,DPKI Upper,0.2091703611348359
0.15714285714285714,Theory,DPKI Lower,0.19327745592386764
0.17142857142857143,Theory,PKI FCFS,0.2567459713923592
0.17142857142857143,Theory,DPKI Upper,0.2113759201026947
0.17142857142857143,Theory,DPKI Lower,0.19476871474395008
0.18571428571428572,Theory,PKI FCFS,0.2618888285352164
0.18571428571428572,Theory,DPKI Upper,0.2136284830923385
0.18571428571428572,Theory,DPKI Lower,0.19629645524841707
0.19999999999999998,Theory,PKI FCFS,0.2670316856780735
0.19999999999999998,Theory,DPKI Upper,0.21592883601622148
0.19999999999999998,Theory,DPKI Lower,0.19786133730993866
0.21428571428571427,Theory,PKI FCFS,0.2721745428209307
0.21428571428571427,Theory,DPKI Upper,0.21827778396342867
0.21428571428571427,Theory,DPKI Lower,0.1994640369123667
0.22857142857142856,Theory,PKI FCFS,0.2773173999637878
0.22857142857142856,Theory,DPKI Upper,0.22067615178478778
0.22857142857142856,Theory,DPKI Lower,0.20110524664208226
0.24285714285714285,Theory,PKI FCFS,0.28246025710664496
0.24285714285714285,Theory,DPKI Upper,0.22312478469959945
0.24285714285714285,Theory,DPKI Lower,0.20278567619749793
0.2571428571428571,Theory,PKI FCFS,0.2876031142495021
0.2571428571428571,Theory,DPKI Upper,0.22562454892492234
0.2571428571428571,Theory,DPKI Lower,0.20450605291750257
0.2714285714285714,Theory,PKI FCFS,0.2927459713923592
0.2714285714285714,Theory,DPKI Upper,0.228176332328397
0.2714285714285714,Theory,DPKI Lower,0.20626712232967465
0.2857142857142857,Theory,PKI FCFS,0.29788882853521637
0.2857142857142857,Theory,DPKI Upper,0.2307810451056437
0.2857142857142857,Theory,DPKI Lower,0.2080696487191321
0.3,Theory,PKI FCFS,0.3030316856780735
0.3,Theory,DPKI Upper,0.23343962048331743
0.3,Theory,DPKI Lower,0.20991441571893116
0.3142857142857143,Theory,PKI FCFS,0.30817454282093065
0.3142857142857143,Theory,DPKI Upper,0.23615301544896267
0.3142857142857143,Theory,DPKI Lower,0.2118022269229709
0.32857142857142857,Theory,PKI FCFS,0.31331739996378777
0.32857142857142857,Theory,DPKI Upper,0.23892221150886608
0.32857142857142857,Theory,DPKI Lower,0.21373390652241187
0.34285714285714286,Theory,PKI FCFS,0.31846025710664494
0.34285714285714286,Theory,DPKI Upper,0.2417482154751689
0.34285714285714286,Theory,DPKI Lower,0.21571029996666707
0.35714285714285715,Theory,PKI FCFS,0.3236031142495021
0.35714285714285715,Theory,DPKI Upper,0.24463206028356366
0.35714285714285715,Theory,DPKI Lower,0.21773227465007933
0.37142857142857144,Theory,PKI FCFS,0.3287459713923592
0.37142857142857144,Theory,DPKI Upper,0.24757480584297242
0.37142857142857144,Theory,DPKI Lower,0.21980072062545633
0.3857142857142857,Theory,PKI FCFS,0.33388882853521634
0.3857142857142857,Theory,DPKI Upper,0.2505775399186733
0.3857142857142857,Theory,DPKI Lower,0.2219165513456975
0.39999999999999997,Theory,PKI FCFS,0.3390316856780735
0.39999999999999997,Theory,DPKI Upper,0.25364137905042233
0.39999999999999997,Theory,DPKI Lower,0.22408070443481015
0.41428571428571426,Theory,PKI FCFS,0.34417454282093063
0.41428571428571426,Theory,DPKI Upper,0.25676746950719864
0.41428571428571426,Theory,DPKI Lower,0.22629414248968355
0.42857142857142855,Theory,PKI FCFS,0.3493173999637878
0.42857142857142855,Theory,DPKI Upper,0.25995698828028835
0.42857142857142855,Theory,DPKI Lower,0.22855785391406022
0.44285714285714284,Theory,PKI FCFS,0.3544602571066449
0.44285714285714284,Theory,DPKI Upper,0.26321114411651514
0.44285714285714284,Theory,DPKI Lower,0.23087285378622455
0.45714285714285713,Theory,PKI FCFS,0.3596031142495021
0.45714285714285713,Theory,DPKI Upper,0.26653117859352343
0.45714285714285713,Theory,DPKI Lower,0.2332401847620073
0.4714285714285714,Theory,PKI FCFS,0.3647459713923592
0.4714285714285714,Theory,DPKI Upper,0.26991836723912355
0.4714285714285714,Theory,DPKI Lower,0.2356609180147961
0.4857142857142857,Theory,PKI FCFS,0.3698888285352164
0.4857142857142857,Theory,DPKI Upper,0.2733740206968212
0.4857142857142857,Theory,DPKI Lower,0.2381361542143317
0.5,Theory,PKI FCFS,0.3750316856780735
0.5,Theory,DPKI Upper,0.2768994859397672
0.5,Theory,DPKI Lower,0.24066702454617023
0.5142857142857142,Theory,PKI FCFS,0.3801745428209306
0.5142857142857142,Theory,DPKI Upper,0.2804961475354917
0.5142857142857142,Theory,DPKI Lower,0.2432546917737952
0.5285714285714286,Theory,PKI FCFS,0.38531739996378783
0.5285714285714286,Theory,DPKI Upper,0.2841654289639176
0.5285714285714286,Theory,DPKI Lower,0.24590035134547594
0.5428571428571428,Theory,PKI FCFS,0.39046025710664495
0.5428571428571428,Theory,DPKI Upper,0.2879087939912912
0.5428571428571428,Theory,DPKI Lower,0.24860523254808647
0.5571428571428572,Theory,PKI FCFS,0.39560311424950206
0.5571428571428572,Theory,DPKI Upper,0.2917277481028149
0.5571428571428572,Theory,DPKI Lower,0.25137059971022524
0.5714285714285714,Theory,PKI FCFS,0.4007459713923592
0.5714285714285714,Theory,DPKI Upper,0.2956238399969294
0.5714285714285714,Theory,DPKI Lower,0.2541977534571104
0.5857142857142857,Theory,PKI FCFS,0.4058888285352164
0.5857142857142857,Theory,DPKI Upper,0.29959866314436456
0.5857142857142857,Theory,DPKI Lower,0.25708803201986913
0.6,Theory,PKI FCFS,0.4110316856780735
0.6,Theory,DPKI Upper,0.3036538574152526
0.6,Theory,DPKI Lower,0.26004281260199014
0.6142857142857142,Theory,PKI FCFS,0.41617454282093064
0.6142857142857142,Theory,DPKI Upper,0.3077911107778011
0.6142857142857142,Theory,DPKI Lower,0.26306351280587265
0.6285714285714286,Theory,PKI FCFS,0.4213173999637878
0.6285714285714286,Theory,DPKI Upper,0.3120121610722173
0.6285714285714286,Theory,DPKI Lower,0.266151592122577
0.6428571428571428,Theory,PKI FCFS,0.4264602571066449
0.6428571428571428,Theory,DPKI Upper,0.3163187978638086
0.6428571428571428,Theory,DPKI Lower,0.26930855348806804
0.6571428571428571,Theory,PKI FCFS,0.4316031142495021
0.6571428571428571,Theory,DPKI Upper,0.32071286437940544
0.6571428571428571,Theory,DPKI Lower,0.27253594490943817
0.6714285714285714,Theory,PKI FCFS,0.4367459713923592
0.6714285714285714,Theory,DPKI Upper,0.3251962595315152
0.6714285714285714,Theory,DPKI Lower,0.2758353611648093
0.6857142857142857,Theory,PKI FCFS,0.4418888285352164
0.6857142857142857,Theory,DPKI Upper,0.3297709400348765
0.6857142857142857,Theory,DPKI Lower,0.2792084455808367
0.7,Theory,PKI FCFS,0.4470316856780735
0.7,Theory,DPKI Upper,0.3344389226203707
0.7,Theory,DPKI Lower,0.2826568918919783
0.0,Simulation,PKI FCFS,0.1948049306441566
0.0,Simulation,DPKI Real,0.18702680227043855
0.1,Simulation,PKI FCFS,0.23115808190698908
0.1,Simulation,DPKI Real,0.19957648442566073
0.2,Simulation,PKI FCFS,0.26644984923271703
0.2,Simulation,DPKI Real,
0.3,Simulation,PKI FCFS,0.30315227235809983
0.3,Simulation,DPKI Real,0.22936772557198548
0.4,Simulation,PKI FCFS,0.3384741386304754
0.4,Simulation,DPKI Real,0.24790364523390104
0.5,Simulation,PKI FCFS,0.37441834519963013
0.5,Simulation,DPKI Real,0.2672234895279042
0.6,Simulation,PKI FCFS,0.4111741208135369
0.6,Simulation,DPKI Real,0.29219143778852236
0.7,Simulation,PKI FCFS,0.4477891529127387
0.7,Simulation,DPKI Real,0.31991703038273006
