epsilon,DPKI_upper_theory,DPKI_lower_theory,DPKI_sim,PKI_theory,PKI_sim
0,0.21685336,0.200367901,,0.183922518,
0.010204082,0.218134798,0.201287044,,0.187595988,
0.020408163,0.219431285,0.20221831,,0.191269457,
0.030612245,0.220742967,0.203161824,,0.194942926,
0.040816327,0.22206999,0.204117712,,0.198616396,
0.051020408,0.223412503,0.205086102,,0.202289865,
0.06122449,0.224770657,0.206067123,,0.205963334,
0.071428571,0.226144605,0.207060909,,0.209636804,
0.081632653,0.227534502,0.208067591,,0.213310273,
0.091836735,0.228940506,0.209087305,,0.216983743,
0.102040816,0.230362776,0.210120188,,0.220657212,
0.112244898,0.231801473,0.21116638,,0.224330681,
0.12244898,0.233256764,0.212226021,,0.228004151,
0.132653061,0.234728812,0.213299254,,0.23167762,
0.142857143,0.236217788,0.214386225,,0.23535109,
0.153061224,0.237723863,0.215487081,,0.239024559,
0.163265306,0.23924721,0.216601971,,0.242698028,
0.173469388,0.240788005,0.217731046,,0.246371498,
0.183673469,0.242346427,0.21887446,,0.250044967,
0.193877551,0.243922658,0.220032369,,0.253718437,
0.204081633,0.245516882,0.221204931,,0.257391906,
0.214285714,0.247129284,0.222392306,,0.261065375,
0.224489796,0.248760055,0.223594657,,0.264738845,
0.234693878,0.250409386,0.22481215,,0.268412314,
0.244897959,0.252077473,0.226044952,,0.272085783,
0.255102041,0.253764514,0.227293232,,0.275759253,
0.265306122,0.255470708,0.228557164,,0.279432722,
0.275510204,0.257196261,0.229836923,,0.283106192,
0.285714286,0.258941378,0.231132687,,0.286779661,
0.295918367,0.26070627,0.232444635,,0.29045313,
0.306122449,0.262491151,0.233772951,,0.2941266,
0.316326531,0.264296236,0.235117822,,0.297800069,
0.326530612,0.266121744,0.236479436,,0.301473539,
0.336734694,0.2679679,0.237857984,,0.305147008,
0.346938776,0.26983493,0.239253662,,0.308820477,
0.357142857,0.271723062,0.240666667,,0.312493947,
0.367346939,0.273632532,0.242097199,,0.316167416,
0.37755102,0.275563576,0.243545463,,0.319840886,
0.387755102,0.277516434,0.245011665,,0.323514355,
0.397959184,0.279491352,0.246496015,,0.327187824,
0.408163265,0.281488577,0.247998728,,0.330861294,
0.418367347,0.283508362,0.249520019,,0.334534763,
0.428571429,0.285550963,0.251060109,,0.338208232,
0.43877551,0.287616641,0.252619223,,0.341881702,
0.448979592,0.28970566,0.254197586,,0.345555171,
0.459183673,0.291818289,0.255795431,,0.349228641,
0.469387755,0.2939548,0.257412991,,0.35290211,
0.479591837,0.296115472,0.259050506,,0.356575579,
0.489795918,0.298300586,0.260708217,,0.360249049,
0.5,0.300510428,0.262386372,,0.363922518,
epsilon,,,DPKI_sim,,PKI_sim
0,,,0.21475356,,0.18320757
0.05,,,0.220358029,,0.200891979
0.1,,,0.226685241,,0.21874474
0.15,,,0.23424865,,0.238281324
0.2,,,0.240253741,,0.256331092
0.25,,,0.247553761,,0.273323134
0.3,,,0.255846095,,0.291765078
0.35,,,0.263395175,,0.31058769
0.4,,,0.274074495,,0.328435428
0.45,,,0.280580276,,0.345761261
0.5,,,0.293010284,,0.363397479
